ell_over_ell_ext,control,value,frequency_M,damping_M,shift,residual
0.6,spacing,0.08,0.36817453570350267,0.08039250525562712,0.0004863896875032679,0.04481509971318017
0.6,spacing,0.12,0.36832384195408036,0.08037085637554467,0.0006372494747320825,0.04453023192853384
0.6,outer,220.0,0.3676914198350037,0.08045679936319286,9.858460850362479e-07,0.045847251602325834
0.6,eps,2e-08,0.36792400368261874,0.08042411834854479,0.00023388325869673103,0.045339368425095054
0.6,fit_window,55,0.3640183195547088,0.08280535148704897,0.004360627377366268,0.0466199683595653
0.6,fit_window,65,0.3741555403298648,0.0775166558383452,0.007100422056085271,0.04688029208908495
0.6,fit_window,70,0.38099752728144004,0.08111316904002437,0.013321313120623448,0.02835314226745906
0.9,spacing,0.08,0.39307225471406304,0.07712049485945305,0.0003345380526775531,0.08214518366361102
0.9,spacing,0.12,0.39314487159319855,0.07707397483140081,0.00024832501143338335,0.08210861626245596
0.9,outer,220.0,0.39334137443579664,0.07694006185292995,1.053171174341803e-05,0.08182161769975145
0.9,eps,2e-08,0.39337363484723015,0.07691667979343583,2.931301471987232e-05,0.08177368210818099
0.9,fit_window,55,0.381589592060416,0.0689050735048548,0.014239774052394814,0.12529402288449445
0.9,fit_window,65,0.3917030550680922,0.09058716385697996,0.013752119449963003,0.08006383342828834
0.9,fit_window,70,0.37854665943771487,0.0950827098767278,0.02342037300043465,0.07914204304193899
0.97,spacing,0.08,0.3908085864949166,0.08359868140708389,0.00010813520962771831,0.09113079321554775
0.97,spacing,0.12,0.3909281429436374,0.08337592069397404,0.00014468880927909477,0.09131005698064486
0.97,outer,220.0,0.3908603422005127,0.08349987885436734,3.4040147958044127e-06,0.09120991026345383
0.97,eps,2e-08,0.39083196983377566,0.08355894946796584,6.212712562929631e-05,0.09117176520575397
0.97,fit_window,55,0.3917080602927107,0.07460495518948859,0.008938418878774583,0.11301700849347501
0.97,fit_window,65,0.38193216491694226,0.08685200272046685,0.00953425844191645,0.09263205165363592
0.97,fit_window,70,0.3751236548048799,0.07890314062233975,0.016393744698445147,0.12305215096968823
