ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.99,0.762102355330306,0.002,10.0,-0.6122345871841324,-2.7814002237391833e-05,1.2706803745210493e-05,-2.7814002237391833e-05,2.767118496340089,2.096559455821989e-05,3.597122599785507e-14,7.105427357601002e-15,3.9182887184984274
0.99,0.762102355330306,0.002,12.0,-0.6122347739837224,-2.7814072929288614e-05,1.2701347962718046e-05,-2.7814072929288614e-05,2.7671630672484184,2.0966667079846957e-05,6.661338147750939e-16,8.43769498715119e-15,4.714560374404626
0.99,0.762102355330306,0.002,14.0,-0.6122349584888749,-2.781451804878543e-05,1.2686827540520085e-05,-2.781451804878543e-05,2.7671747774727464,2.0966342390238424e-05,4.989831893063952e-15,3.26126005627308e-14,5.512053489014679
0.99,0.762102355330306,0.002,16.0,-0.612235088061766,-2.7815193348601497e-05,1.264937537825972e-05,-2.7815193348601497e-05,2.7671784801879937,2.096770026582817e-05,1.15484543030194e-14,1.942350967054999e-14,6.310306270064904
0.99,0.762102355330306,0.004,10.0,-0.6121965133004856,-5.58307198446073e-05,5.0780687391949186e-05,-5.58307198446073e-05,2.7669014197836077,4.2083790503966156e-05,2.398081733190338e-14,3.102273850532274e-14,3.9189181547764464
0.99,0.762102355330306,0.004,12.0,-0.6121968662129227,-5.583094376504505e-05,5.060911876242358e-05,-5.583094376504505e-05,2.766945649434774,4.2084538563358365e-05,8.881784197001252e-15,1.1374233532693354e-14,4.715586561697353
0.99,0.762102355330306,0.004,14.0,-0.6121976810033729,-5.582980669771587e-05,4.996431304249427e-05,-5.582980669771587e-05,2.766957281738655,4.208421387374983e-05,1.7763568394002505e-14,2.4868995751603507e-14,5.513618510558954
0.99,0.762102355330306,0.004,16.0,-0.6121999564894409,-5.582758124944576e-05,4.778094770330199e-05,-5.582758124944576e-05,2.7669611426553047,4.208907512293081e-05,1.2080532582046505e-14,1.0048591735576161e-14,6.312574568684071
0.99,0.762102355330306,0.006,10.0,-0.6121334026496328,-8.425384083921017e-05,0.00011389133824479813,-8.425384083921017e-05,2.7665397185255642,6.351032607199159e-05,2.5864145986817697e-14,1.5888218580782548e-14,3.9199684206281633
0.99,0.762102355330306,0.006,12.0,-0.6121354035903792,-8.425360323371933e-05,0.00011207174130589692,-8.425360323371933e-05,2.7665835621944552,6.351332558551803e-05,1.2809491335957507e-14,3.552713678800501e-15,4.717299648584115
0.99,0.762102355330306,0.006,14.0,-0.6121428898260106,-8.42544218500052e-05,0.00010475549040478427,-8.42544218500052e-05,2.7665957205929317,6.350946569000371e-05,3.552713678800501e-15,1.4210854715202004e-14,5.516232568793407
0.99,0.762102355330306,0.006,16.0,-0.612167857281321,-8.425566632297432e-05,7.988015582327535e-05,-8.425566632297432e-05,2.7666018605523277,6.350857029246981e-05,3.6230712748823524e-14,1.0048591735576161e-14,6.316365746995189
