ell_over_ell_ext,ell,Momega,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,k_dynamic_real,k_dynamic_imag,delta_k_real,delta_k_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.0,0.0,0.002,0.0,-0.9847379138453404,0.004267085213571135,-0.9843280577470465,0.0,-1.5751748826761075e-05,-0.004267085213571135,-1.5751748826761075e-05,-0.004267085213571135,1.356209667151693e-09,1.872678319092641e-09,0.032
0.1,0.07698003589195011,0.002,0.0008532848533869884,-0.9676635474761665,0.004197630469709387,-0.9672615070080797,0.0,0.0008373044943230536,-0.004197630469709387,-1.59803590639348e-05,-0.004197630469709387,1.3764691028538867e-09,1.9006529065791536e-09,0.032
0.2,0.15396007178390023,0.002,0.00794594636782332,-0.9174954332711375,0.003992590526694116,-0.9171150349951105,0.0,0.007929244637606586,-0.003992590526694116,-1.6701730216733476e-05,-0.003992590526694116,1.4336414468478042e-09,1.979597491396312e-09,0.032
0.3,0.2309401076758503,0.002,0.03486408588465715,-0.837382550239473,0.0036619006856898257,-0.8370326716538581,0.0,0.03484607491076748,-0.0036619006856898257,-1.8010973889669157e-05,-0.0036619006856898257,1.5635878128133876e-09,2.1590297341350692e-09,0.032
0.4,0.30792014356780045,0.002,0.10420564304165504,-0.7325180174911916,0.0032219981132429842,-0.7322008372334559,0.0,0.10418560974650783,-0.0032219981132429842,-2.0033295147214858e-05,-0.0032219981132429842,1.678062222134692e-09,2.3170980252268472e-09,0.032
0.5,0.3849001794597505,0.002,0.24749631053450952,-0.6100489375743737,0.0026956542890150853,-0.6097604895146952,0.0,0.24747344071957836,-0.0026956542890150853,-2.2869814931159027e-05,-0.0026956542890150853,1.8918042108569917e-09,2.6122367474143036e-09,0.032
0.6,0.4618802153517006,0.002,0.5050403320994054,-0.47893241081015525,0.002111782162295954,-0.47866630334771115,0.0,0.5050138027188117,-0.002111782162295954,-2.6529380593665053e-05,-0.002111782162295954,2.128129266309575e-09,2.938558567958811e-09,0.032
0.7,0.5388602512436507,0.002,0.9256747010331015,-0.3497103984128159,0.0015053018454877656,-0.34946552571761574,0.0,0.9256438658225418,-0.0015053018454877656,-3.083521055968763e-05,-0.0015053018454877656,2.4927401348187367e-09,3.442019710374155e-09,0.032
0.8,0.6158402871356009,0.002,1.5663862815145428,-0.23414333276507662,0.0009173036919124095,-0.2339363111456923,0.0,1.5663509629635992,-0.0009173036919124095,-3.5318550943630456e-05,-0.0009173036919124095,2.8897842559497878e-09,3.990265262221059e-09,0.032
0.9,0.6928203230275509,0.002,2.4917423799395757,-0.14454272112745795,0.0003963448724323255,-0.14442568602850633,0.0,2.491703295987264,-0.0003963448724323255,-3.9083952311891323e-05,-0.0003963448724323255,3.5055742909695258e-09,4.840559044701599e-09,0.032
