omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.23360311226716574,0.0009173037897434733,-0.23363781924344895,3.4706976283216395e-05,0.0009173037897434733,-1.9902430186383961,0.000910670183682849,4.062750500441595
0.002,12.0,-0.23376548728398558,0.0009173037629511271,-0.23380038730631547,3.490002232989231e-05,0.0009173037629511271,-1.9917521570561787,0.0009106706435317857,4.862077230235592
0.002,14.0,-0.23383305917968483,0.0009173037553203423,-0.23386806655730563,3.500737762079931e-05,0.0009173037553203423,-1.992301886445663,0.0009106708415096421,5.663854536480721
0.002,16.0,-0.2338646771124176,0.0009173037596223454,-0.23389976783366961,3.5090721252017953e-05,0.0009173037596223454,-1.9925221569310112,0.0009106707595331054,6.46615955316726
0.004,10.0,-0.23349896569886722,0.0018355586428060455,-0.23363781924344895,0.00013885354458173516,0.0018355586428060455,-1.9904289255158736,0.0018222203766471434,4.063431122974581
0.004,12.0,-0.23366064672463083,0.0018355585892769755,-0.23380038730631547,0.0001397405816846442,0.0018355585892769755,-1.9919442521300912,0.001822221449066408,4.863183798469016
0.004,14.0,-0.23372742781385267,0.001835558586307462,-0.23386806655730563,0.00014063874345296434,0.001835558586307462,-1.9924980525062304,0.0018222214441370177,5.665533080130965
0.004,16.0,-0.23375720771242403,0.0018355585859062273,-0.23389976783366961,0.00014256012124558293,0.0018355585859062273,-1.9927214535899793,0.0018222214396490521,6.468578877115276
0.006,10.0,-0.23332515280330582,0.002755716560271182,-0.23363781924344895,0.0003126664401431334,0.002755716560271182,-1.9907387730611483,0.0027355312062571358,4.064566877139885
0.006,12.0,-0.23348460511456223,0.00275571647412165,-0.23380038730631547,0.00031578219175323885,0.00275571647412165,-1.9922646228145522,0.002735532721684031,4.865031222139694
0.006,14.0,-0.23354569898019242,0.0027557164628801978,-0.23386806655730563,0.0003223675771132084,0.0027557164628801978,-1.9928262519631117,0.0027355331654348447,5.668337023837769
0.006,16.0,-0.23355760523674807,0.0027557164691252023,-0.23389976783366961,0.00034216259692154694,0.0027557164691252023,-1.9930588957152418,0.0027355330225535823,6.472622922385469
