omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.09536163115799567,3.500124702782159e-05,-0.09540103135225309,3.94001942574107e-05,3.500124702782159e-05,-5.469808944756334,4.402942923320552e-05,4.1016834466910375
0.002,12.0,-0.09540660263891176,3.5001158707359536e-05,-0.09544638012823725,3.9777489325487636e-05,3.5001158707359536e-05,-5.474377283529996,4.403133314667684e-05,4.892407502508903
0.002,14.0,-0.09543782196849371,3.500079304785686e-05,-0.09547780711125142,3.99851427577147e-05,3.500079304785686e-05,-5.47617874210145,4.403120621532253e-05,5.689086268839836
0.002,16.0,-0.09545665973400475,3.500137790979352e-05,-0.09549679225676755,4.0132522762803546e-05,3.500137790979352e-05,-5.4769721210576705,4.405115831218609e-05,6.488025742410324
0.004,10.0,-0.09524340787405094,7.023613244427906e-05,-0.09540103135225309,0.00015762347820214018,7.023613244427906e-05,-5.470338203148117,8.834780533106823e-05,4.102368458830313
0.004,12.0,-0.09528713279730283,7.023625789770449e-05,-0.09544638012823725,0.00015924733093442,7.023625789770449e-05,-5.474919843534352,8.83478754758471e-05,4.893520977019038
0.004,14.0,-0.09531726419540121,7.023696613828179e-05,-0.09547780711125142,0.00016054291585021474,7.023696613828179e-05,-5.476729925477784,8.833367513716439e-05,5.6907738204638925
0.004,16.0,-0.09533410887427607,7.023634873348783e-05,-0.09549679225676755,0.00016268338249147973,7.023634873348783e-05,-5.477529772029058,8.832588133600439e-05,6.490455975919362
0.006,10.0,-0.09504614550543522,0.00010593911002843015,-0.09540103135225309,0.00035488584681786506,0.00010593911002843015,-5.471220263741088,0.00013325030596433862,4.103511541852391
0.006,12.0,-0.09508674254239224,0.00010593925898660927,-0.09544638012823725,0.0003596375858450074,0.00010593925898660927,-5.475824301150794,0.00013324963583727367,4.895379933984894
0.006,14.0,-0.09511074946965437,0.00010594011183684415,-0.09547780711125142,0.0003670576415970572,0.00010594011183684415,-5.477650035049692,0.00013326479466968522,5.693592814754342
0.006,16.0,-0.09510958834680139,0.00010594033221877908,-0.09549679225676755,0.0003872039099661606,0.00010594033221877908,-5.4784652398699905,0.000133245660947523,6.494518261042527
