model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
fan_wang,0.6,0.1,0,0.39045239623225303,-8.94341211366001e-08,0.3904523962322633
fan_wang,0.6,0.125,0,0.4236155674167058,-4.901692659264878e-07,0.42361556741698936
fan_wang,0.6,0.15,0,0.44081535423828305,-2.1389745392119686e-06,0.4408153542434725
fan_wang,0.6,0.175,0,0.44204370818342786,-7.982041846182897e-06,0.44204370825549427
fan_wang,0.6,0.2,0,0.42836831898552574,-2.6583037465305326e-05,0.42836831981035084
fan_wang,0.6,0.225,0,0.40025080439963545,-8.125549233170548e-05,0.40025081264753265
fan_wang,0.6,0.25,0,0.3582934596089749,-0.00023251603707920981,0.35829353505509365
fan_wang,0.6,0.275,0,0.3025621606693267,-0.0006326407557688957,0.30256282207703133
fan_wang,0.6,0.3,0,0.23260255342443723,-0.0016575630564249696,0.23260845937939187
fan_wang,0.6,0.325,0,0.14679479935795292,-0.0042306469840935786,0.14685575062776968
fan_wang,0.6,0.35,0,0.041778082197765534,-0.010629415881081542,0.04310907832575688
fan_wang,0.6,0.375,0,-0.08846859887378833,-0.02654252928202773,0.09236448910365153
fan_wang,0.6,0.4,0,-0.25254594659667684,-0.0662434724339826,0.26108935784999615
fan_wang,0.6,0.425,0,-0.45478276131184436,-0.16396855163477672,0.48343877162638954
fan_wang,0.6,0.45,0,-0.659735070016182,-0.3833397164509471,0.7630201182262163
fan_wang,0.6,0.475,0,-0.7243716929767732,-0.7448748172613177,1.0390153237446105
fan_wang,0.6,0.48125,0,-0.698325567627715,-0.8380430309088814,1.0908596243593924
fan_wang,0.6,0.4875,0,-0.6556452074241957,-0.9222201547183548,1.1315302257505377
fan_wang,0.6,0.49375,0,-0.5998377818936881,-0.9930306004995644,1.1601358274424876
fan_wang,0.6,0.5,0,-0.5357470824808167,-1.04790190997929,1.176912634533656
fan_wang,0.6,0.50625,0,-0.46837772677998224,-1.0863436760048266,1.1830132194270964
fan_wang,0.6,0.5125,0,-0.4021533285649912,-1.1094866638537508,1.1801220093470115
fan_wang,0.6,0.51875,0,-0.3403851408190259,-1.1196775047851766,1.1702733692656375
fan_wang,0.6,0.525,0,-0.2850637260374807,-1.1196623884920436,1.1553809727124988
fan_wang,0.6,0.55,0,-0.13748674249666176,-1.0664342472832062,1.0752602513535234
fan_wang,0.6,0.575,0,-0.08334578477524646,-0.9977502119933277,1.0012252520649547
fan_wang,0.6,0.6,0,-0.08326063217373156,-0.94827199909688,0.9519202262485879
fan_wang,0.6,0.625,0,-0.11458895351610743,-0.9267221618544178,0.933779735023224
fan_wang,0.6,0.65,0,-0.1628994765571416,-0.9444162737220488,0.958362320593642
fan_wang,0.6,0.675,0,-0.19382855093586332,-1.0173679128600113,1.0356674066876064
fan_wang,0.6,0.7,0,-0.14663813487789618,-1.1065148068613055,1.1161889447597035
fan_wang,0.6,0.725,0,-0.05745455493218293,-1.123445118254218,1.124913312043061
fan_wang,0.6,0.75,0,-0.004366673695744672,-1.092050555866995,1.0920592861235046
fan_wang,0.6,0.775,0,0.01485167456342093,-1.0593565047734543,1.0594606063668284
fan_wang,0.6,0.8,0,0.01891150804745123,-1.0363341117356772,1.0365066503807894
fan_wang,0.6,0.50625,1,-0.46822732289838814,-1.0879820363149324,1.1844584151639002
fan_wang,0.9,0.1,0,0.39501733502226427,-2.9888955754842073e-09,0.39501733502226427
fan_wang,0.9,0.125,0,0.4314121994927886,-1.7684842923415545e-08,0.4314121994927889
fan_wang,0.9,0.15,0,0.4530116416501942,-8.384332352007196e-08,0.45301164165020197
fan_wang,0.9,0.175,0,0.45987570285828183,-3.411760530758201e-07,0.4598757028584084
fan_wang,0.9,0.2,0,0.453160542927867,-1.2412541794820653e-06,0.453160542929567
fan_wang,0.9,0.225,0,0.4334488965290531,-4.147018786690437e-06,0.4334488965488914
fan_wang,0.9,0.25,0,0.40154413839529035,-1.2965419436114511e-05,0.4015441386046099
fan_wang,0.9,0.275,0,0.3579231402938263,-3.8496485073379744e-05,0.3579231423640744
fan_wang,0.9,0.3,0,0.30288195033992316,-0.00010985605702491796,0.3028819702624587
fan_wang,0.9,0.325,0,0.2361814608257154,-0.0003046051756055157,0.2361816572515358
fan_wang,0.9,0.35,0,0.1567767846728555,-0.0008291271325454597,0.1567789771116039
fan_wang,0.9,0.375,0,0.06220834081715995,-0.0022401513214825794,0.062248662195801996
fan_wang,0.9,0.4,0,-0.052517978076590144,-0.006083004398554387,0.05286909270798994
fan_wang,0.9,0.425,0,-0.19711356946622888,-0.016862765199225888,0.19783354649270699
fan_wang,0.9,0.45,0,-0.390040265475335,-0.048654053673226616,0.3930631318642172
fan_wang,0.9,0.475,0,-0.6611583317361619,-0.14889356275655688,0.6777164839772495
fan_wang,0.9,0.5,0,-1.0015641869812504,-0.4717794746694619,1.1071163865478673
fan_wang,0.9,0.525,0,-1.017365249752962,-1.1981604796219778,1.5718207869642373
fan_wang,0.9,0.53125,0,-0.884523885577984,-1.3682523969815792,1.6292627553601695
fan_wang,0.9,0.5375,0,-0.710896638681384,-1.4849827862803178,1.6463741696337884
fan_wang,0.9,0.54375,0,-0.524939021983192,-1.539122499964438,1.6261792787689344
fan_wang,0.9,0.55,0,-0.3525330153045624,-1.538113776432879,1.5779966781119468
fan_wang,0.9,0.55625,0,-0.20867864181697743,-1.498503462600528,1.5129637811184875
fan_wang,0.9,0.5625,0,-0.09764400000026852,-1.4373126413474318,1.4406255515272468
fan_wang,0.9,0.56875,0,-0.016815866472835617,-1.3676470422342828,1.3677504178385085
fan_wang,0.9,0.575,0,0.03920045458045751,-1.2977178062288344,1.2983097397164873
fan_wang,0.9,0.6,0,0.11565325899219986,-1.0739038285440723,1.0801134705562805
fan_wang,0.9,0.625,0,0.09524205603316124,-0.9443085032774226,0.9490993618159639
fan_wang,0.9,0.65,0,0.05110398265134669,-0.8734235945389284,0.8749173632636008
fan_wang,0.9,0.675,0,0.002105124316971336,-0.835068262863209,0.8350709162638629
fan_wang,0.9,0.7,0,-0.04879271282080533,-0.8150094710219398,0.8164687175145632
fan_wang,0.9,0.725,0,-0.10475544631296646,-0.806076716124724,0.8128550767576269
fan_wang,0.9,0.75,0,-0.17457370601356428,-0.8066593819825483,0.8253334704056156
fan_wang,0.9,0.775,0,-0.2788304158373767,-0.8262766313824297,0.8720547416101468
fan_wang,0.9,0.8,0,-0.46452200184893055,-0.9334112395251952,1.0426107769794533
fan_wang,0.9,0.5375,1,-0.7098459525538144,-1.4879184896186135,1.6485698978526717
fan_wang,0.97,0.1,0,0.3960765040002881,-2.311003194366279e-10,0.3960765040002881
fan_wang,0.97,0.125,0,0.4332190167147578,-1.58088644952592e-09,0.4332190167147578
fan_wang,0.97,0.15,0,0.4558350236335115,-8.659187339388197e-09,0.45583502363351164
fan_wang,0.97,0.175,0,0.46399867050197535,-4.0524798627927794e-08,0.46399867050197713
fan_wang,0.97,0.2,0,0.4588827739250385,-1.6851849846122313e-07,0.45888277392506943
fan_wang,0.97,0.225,0,0.4410895506058645,-6.39153840676504e-07,0.4410895506063276
fan_wang,0.97,0.25,0,0.41145137042971724,-2.2527161258542594e-06,0.4114513704358841
fan_wang,0.97,0.275,0,0.3705073998799421,-7.488139035768948e-06,0.3705073999556116
fan_wang,0.97,0.3,0,0.3186699669438706,-2.375874690763169e-05,0.31866996782954876
fan_wang,0.97,0.325,0,0.2559279146338366,-7.274629988299934e-05,0.2559279249727323
fan_wang,0.97,0.35,0,0.18165182816954134,-0.00021715227482740906,0.18165195796480432
fan_wang,0.97,0.375,0,0.09415716405744583,-0.0006388388200233575,0.09415933123370587
fan_wang,0.97,0.4,0,-0.010127270873837968,-0.0018748072995235536,0.010299345501653668
fan_wang,0.97,0.425,0,-0.13832692408535854,-0.005574321042842639,0.13843919597428045
fan_wang,0.97,0.45,0,-0.30492441924882147,-0.017151534440419197,0.3054064121590965
fan_wang,0.97,0.475,0,-0.5402254907879269,-0.05633326520157145,0.5431546903648418
fan_wang,0.97,0.5,0,-0.9012389560759926,-0.20525620772561712,0.9243169190049734
fan_wang,0.97,0.525,0,-1.3383868961144023,-0.7983151538094874,1.5583923025004358
fan_wang,0.97,0.53125,0,-1.3615247834688817,-1.0788409335313116,1.7371377308269766
fan_wang,0.97,0.5375,0,-1.281115339670897,-1.3860742640102575,1.8874475830845356
fan_wang,0.97,0.54375,0,-1.080131156665796,-1.6580613873958423,1.9788508988736913
fan_wang,0.97,0.55,0,-0.792126091668954,-1.8285667126057172,1.9927669124994052
fan_wang,0.97,0.55625,0,-0.4877756911267441,-1.872628364084129,1.935112946271244
fan_wang,0.97,0.5625,0,-0.2281090751598976,-1.8161622069232426,1.8304313458927126
fan_wang,0.97,0.56875,0,-0.037409911715700406,-1.7053735081335755,1.705783779890756
fan_wang,0.97,0.575,0,0.08857512424817249,-1.577707611975598,1.5801920331153816
fan_wang,0.97,0.6,0,0.2298805515363937,-1.171685209088082,1.194023156044496
fan_wang,0.97,0.625,0,0.18499901167588995,-0.9683882112918001,0.9859007871434062
fan_wang,0.97,0.65,0,0.11737863438262114,-0.871155857716556,0.8790280269953838
fan_wang,0.97,0.675,0,0.0547178393270335,-0.8240459600418184,0.8258606336433897
fan_wang,0.97,0.7,0,-0.0006259689004669555,-0.8016522465091792,0.8016524909025594
fan_wang,0.97,0.725,0,-0.0516198297876726,-0.7917360989347452,0.7934170764381852
fan_wang,0.97,0.75,0,-0.10314560620166899,-0.7881904643685265,0.7949108278292498
fan_wang,0.97,0.775,0,-0.16252164735304714,-0.7881691112423312,0.804750789856633
fan_wang,0.97,0.8,0,-0.24375548588763124,-0.791833696237943,0.8285030714476309
fan_wang,0.97,0.55,1,-0.78982523551408,-1.832443409228434,1.9954129273610508
hayward,0.6,0.1,0,0.38120772787135015,-6.751272429161848e-07,0.381207727871948
hayward,0.6,0.125,0,0.40779251612336925,-3.773492128072986e-06,0.4077925161408282
hayward,0.6,0.15,0,0.4160231959935486,-1.6777795822472963e-05,0.4160231963318644
hayward,0.6,0.175,0,0.405728688252864,-6.366885410133416e-05,0.405728693248472
hayward,0.6,0.2,0,0.3777255565588408,-0.00021505816822675605,0.37772561778055486
hayward,0.6,0.225,0,0.33205640829639294,-0.0006647296916786061,0.33205707364286613
hayward,0.6,0.25,0,0.26856225809882295,-0.0019173560504014975,0.26856910233562387
hayward,0.6,0.275,0,0.18587456542699926,-0.005239612815516047,0.18594840041025454
hayward,0.6,0.3,0,0.08124256043454786,-0.013718051326781255,0.08239258800502243
hayward,0.6,0.325,0,-0.049892128875572074,-0.03464965369187784,0.06074391347866678
hayward,0.6,0.35,0,-0.2114624504464571,-0.08426969910842104,0.22763512500632263
hayward,0.6,0.375,0,-0.3962051846083403,-0.1933925650284048,0.44088460227002124
hayward,0.6,0.4,0,-0.5591668075295864,-0.3972350732359975,0.6859032162423776
hayward,0.6,0.425,0,-0.6113224244522107,-0.6753254229013681,0.9109223531427038
hayward,0.6,0.45,0,-0.52016192561472,-0.9137717664954439,1.0514500797010848
hayward,0.6,0.475,0,-0.37397821457746827,-1.0363466631716804,1.101759552373215
hayward,0.6,0.48125,0,-0.3401592346221971,-1.0514347769850252,1.1050897679158505
hayward,0.6,0.4875,0,-0.30894550515944913,-1.0622573713888812,1.106272140220589
hayward,0.6,0.49375,0,-0.2805382115413757,-1.0697191284589436,1.1058936214328192
