model,ell_over_ell_ext,control,value,frequency_M,damping_M,shift,residual
fan_wang,0.6,spacing,0.08,0.43899811855303017,0.09576163748067754,0.0005494675572887285,0.06552419686590584
fan_wang,0.6,spacing,0.12,0.4390136936382697,0.09564219776611352,0.00042992495319302694,0.06563908704448805
fan_wang,0.6,outer,220.0,0.43901178941161173,0.09514963820446808,6.26888744347744e-05,0.06599538111605345
fan_wang,0.6,eps,2e-08,0.4389983495050475,0.09561254745519016,0.00040041622031332705,0.06568662827158321
fan_wang,0.6,fit_window,55,0.4358970564623528,0.0857520404531132,0.009959155171816033,0.08215020734235204
fan_wang,0.6,fit_window,65,0.4325154245050614,0.10244445108395848,0.009720055379252936,0.05349500408915274
fan_wang,0.6,fit_window,70,0.4224919440791605,0.09900930353812609,0.01694853610999152,0.062066048133713816
fan_wang,0.9,spacing,0.08,0.4861771610874062,0.08583453475761078,6.076106099267827e-05,0.0847978700026036
fan_wang,0.9,spacing,0.12,0.48535476470906846,0.08673247622960394,0.0012782734112992266,0.08537705806702817
fan_wang,0.9,outer,220.0,0.48621797096975505,0.08579599328321816,4.648295522764291e-06,0.08479311489527099
fan_wang,0.9,eps,2e-08,0.48566125319353914,0.08640389213018074,0.0008289501015503739,0.08517608796548183
fan_wang,0.9,fit_window,55,0.48700083287219686,0.09985969163879468,0.014088798609598286,0.08635307392277454
fan_wang,0.9,fit_window,65,0.49882505458777965,0.08321889445662412,0.012864094116528762,0.07126626519182452
fan_wang,0.9,fit_window,70,0.5006556644663327,0.09416004935226799,0.01668456805515638,0.07318475528928302
fan_wang,0.97,spacing,0.08,0.5168318225675606,0.07696488668773763,0.00022342463013756453,0.0897566423662161
fan_wang,0.97,spacing,0.12,0.5168084254355508,0.07683699557127159,9.34329123382882e-05,0.08950305228532693
fan_wang,0.97,outer,220.0,0.5167916549652062,0.07675736108987141,1.205276618679239e-05,0.0891899941852484
fan_wang,0.97,eps,2e-08,0.5167917683066583,0.07675701012344908,1.1736816194350583e-05,0.0891888390705191
fan_wang,0.97,fit_window,55,0.506089578318925,0.08240646826700826,0.012104673204161956,0.0927175879814341
fan_wang,0.97,fit_window,65,0.5192614311568086,0.08691330766922943,0.010463990848130843,0.06719099620016256
fan_wang,0.97,fit_window,70,0.5103663022420878,0.08791343462520522,0.01288299500948997,0.06499592170943476
hayward,0.6,spacing,0.08,0.36469186995866043,0.08364898431263855,6.846048283585607e-05,0.03016876085402737
hayward,0.6,spacing,0.12,0.3646586867634649,0.08365111962030677,3.5315258435193354e-05,0.03024561768343565
hayward,0.6,outer,220.0,0.3646268457231332,0.08364923353481518,3.4414109315426433e-06,0.030293714318294893
hayward,0.6,eps,2e-08,0.3646440594149811,0.08364919597085917,2.0649911267618488e-05,0.03026064689084648
hayward,0.6,fit_window,55,0.3630416023456572,0.08608076148682443,0.0029005861730220196,0.029405959760246923
hayward,0.6,fit_window,65,0.3694830363414718,0.0805553422787196,0.0057610288268412045,0.029694806710839558
hayward,0.6,fit_window,70,0.37439916392569805,0.08275802128238041,0.009816312305590697,0.018393359631326288
hayward,0.9,spacing,0.08,0.37486419914144603,0.07497892957163764,0.00042734094277880713,0.055765169201866804
hayward,0.9,spacing,0.12,0.374314837790479,0.07506668500337259,0.00012918135845276242,0.056332519056384145
hayward,0.9,outer,220.0,0.37444493544741336,0.07505224245776407,1.7164608266046657e-06,0.05617031134301274
hayward,0.9,eps,2e-08,0.3744952896052379,0.0750305864342943,5.647302577540481e-05,0.05609431710901141
hayward,0.9,fit_window,55,0.362462624446639,0.07104859617407583,0.012631952478389046,0.08433690096063007
hayward,0.9,fit_window,65,0.37654132719895683,0.08224235698564024,0.007489739202155222,0.0619024488653901
hayward,0.9,fit_window,70,0.37488494414102586,0.08716478055866875,0.012120343462257136,0.05176605575238797
hayward,0.97,spacing,0.08,0.3785309619250904,0.0747085834547772,0.00010927076594723264,0.06957043394272094
hayward,0.97,spacing,0.12,0.3785140111591219,0.0747145759199164,9.225240674420416e-05,0.06940352572586182
hayward,0.97,outer,220.0,0.37842190048300206,0.07471286135311389,1.2578823140765925e-07,0.06901257291909443
hayward,0.97,eps,2e-08,0.37842403929907675,0.07471299955748946,2.269007561701438e-06,0.06901986894908861
hayward,0.97,fit_window,55,0.36432860353863955,0.06865807463138283,0.015338770044852497,0.10815341130967478
hayward,0.97,fit_window,65,0.3784963422387217,0.08669570583145038,0.011983080697010063,0.07105725835884562
hayward,0.97,fit_window,70,0.3697900741329482,0.09167490217131857,0.01903200534199565,0.06208260590287998
