model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.9,0.26666666666666666,0.002,10.0,1.7332543228457067,-1.8427253799302434e-05,6.000338399481109e-07,-1.8427253799302434e-05,0.35118426894699084,9.822269975146014e-07,6.221212756561689e-15,1.9305375854779704e-16,4.0542251422025775
fan_wang,0.9,0.26666666666666666,0.002,12.0,1.7332677922743365,-1.842723043843364e-05,5.930716220348131e-07,-1.842723043843364e-05,0.35118709236745616,9.822271080928147e-07,1.2230607063941444e-14,6.277164673200667e-16,4.840037091020686
fan_wang,0.9,0.26666666666666666,0.002,14.0,1.7332715944775319,-1.842731234802386e-05,5.80926740934018e-07,-1.842731234802386e-05,0.3511878912570243,9.822088506972193e-07,3.781283367737843e-15,6.090460709622218e-16,5.630865229659124
fan_wang,0.9,0.26666666666666666,0.002,16.0,1.7332728508877961,-1.842731916035234e-05,5.487454712849171e-07,-1.842731916035234e-05,0.35118816216172466,9.822252162727807e-07,2.482534153247273e-15,9.8879238130678e-17,6.424396280917495
fan_wang,0.9,0.26666666666666666,0.004,10.0,1.7332560959300336,-3.6876190300461076e-05,2.37311816686514e-06,-3.6876190300461076e-05,0.3511857379207467,1.9656108545262896e-06,8.881784197001252e-16,9.367506770274758e-17,4.054846631089411
fan_wang,0.9,0.26666666666666666,0.004,12.0,1.7332694114048195,-3.6876195853352556e-05,2.212202105056349e-06,-3.6876195853352556e-05,0.35118856150829314,1.9656136451828843e-06,1.5543122344752192e-15,5.523398774786142e-16,4.84106665294333
fan_wang,0.9,0.26666666666666666,0.004,14.0,1.7332726399461964,-3.6876229025040175e-05,1.6263954054629437e-06,-3.6876229025040175e-05,0.35118937173205855,1.965598907638366e-06,8.95090418262362e-16,2.7755575615628914e-16,5.632446517140771
fan_wang,0.9,0.26666666666666666,0.004,16.0,1.7332719364610654,-3.687601418533859e-05,-3.6568125949543173e-07,-3.687601418533859e-05,0.3511896810927725,1.965559196293043e-06,1.4217791915866692e-15,5.721958498152797e-17,6.426695521300089
fan_wang,0.9,0.26666666666666666,0.006,10.0,1.7332587889794526,-5.536857120347349e-05,5.0661675858876265e-06,-5.536857120347349e-05,0.3511881942261401,2.9513108366074903e-06,8.926082647349967e-15,1.3472894910096233e-16,4.055883699920142
fan_wang,0.9,0.26666666666666666,0.006,12.0,1.7332706228518449,-5.5368537452693545e-05,3.4236491304184824e-06,-5.5368537452693545e-05,0.35119104766619014,2.951300407616486e-06,0.0,2.0595777971499126e-16,4.842785474882011
fan_wang,0.9,0.26666666666666666,0.006,14.0,1.7332678316782841,-5.5368346778550404e-05,-3.1818725068077924e-06,-5.5368346778550404e-05,0.35119198833419984,2.9513128367852914e-06,1.7763568394002505e-15,4.440892098500626e-16,5.635087902534925
fan_wang,0.9,0.26666666666666666,0.006,16.0,1.733246448457539,-5.536839734787691e-05,-2.5853684785914766e-05,-5.536839734787691e-05,0.3511927163289812,2.951329200584496e-06,2.220446049250313e-15,2.2887833992611187e-16,6.430538651309334
