model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.0,0.0,0.001,10.0,-1.0176769284540182e-05,-0.0032000887148217615,-1.0176746547090294e-05,-0.0032000887148217615,-5.265841705090848e-43,3.642863269379746e-50,1.1102230246251565e-16,5.436144116170737e-63,3.850007280692547
hayward,0.0,0.0,0.001,12.0,-1.017722147901214e-05,-0.003200088702980381,-1.017720510804828e-05,-0.003200088702980381,-1.8631524615704676e-42,-8.99063744468266e-51,1.1102230246251565e-16,1.9940692266095577e-62,4.654000588984913
hayward,0.0,0.0,0.001,14.0,-1.0177530754046257e-05,-0.003200088702202768,-1.0177477275564335e-05,-0.003200088702202768,-5.3637083488112695e-42,-6.092798245071622e-50,1.1102230246251565e-16,3.5268496982265835e-62,5.456566550489593
hayward,0.0,0.0,0.001,16.0,-1.017805726644626e-05,-0.003200088702589399,-1.017805726644626e-05,-0.003200088702589399,-1.329566848018827e-41,-1.184318777739556e-49,1.1102230246251565e-16,1.5648695645012148e-62,6.258352051882631
hayward,0.0,0.0,0.002,10.0,-4.0707206306245865e-05,-0.006400640165306135,-4.0707183568795976e-05,-0.006400640165306135,-8.421647193066431e-42,1.166156392007094e-48,0.0,8.638332331028162e-61,3.8501596509286506
hayward,0.0,0.0,0.002,12.0,-4.071132994213516e-05,-0.006400640141999425,-4.07113135711713e-05,-0.006400640141999425,-2.9796694780671045e-41,-2.871735186061877e-49,0.0,2.066235541477332e-62,4.654250268104627
hayward,0.0,0.0,0.002,14.0,-4.0721561296883774e-05,-0.006400640139212316,-4.072150781840185e-05,-0.006400640139212316,-8.577795298762963e-41,-1.9490139914462218e-48,0.0,4.509255211106413e-61,5.456948792486797
hayward,0.0,0.0,0.002,16.0,-4.075536945930881e-05,-0.0064006401405004845,-4.075536945930881e-05,-0.0064006401405004845,-2.1262377109624876e-40,-3.788894605598567e-48,2.2215299868541707e-16,1.6102533500011743e-61,6.258907602943244
hayward,0.0,0.0,0.003,10.0,-9.159469936839367e-05,-0.009602117142370558,-9.159467663094378e-05,-0.009602117142370558,-4.2603376339987316e-41,8.86107183295056e-48,1.1188630228279524e-16,3.8893845486632136e-62,3.850413672516509
hayward,0.0,0.0,0.003,12.0,-9.162608979944873e-05,-0.009602117107740832,-9.162607342848487e-05,-0.009602117107740832,-1.5072980877126004e-40,-2.1740543568168463e-48,1.1102230246251565e-16,1.6335415104385497e-60,4.654666565466261
hayward,0.0,0.0,0.003,14.0,-9.173967921647156e-05,-0.009602117100926039,-9.173962573798963e-05,-0.009602117100926039,-4.3390178323480906e-40,-1.4791698784897953e-47,0.0,2.123190765305672e-60,5.4575862042450565
hayward,0.0,0.0,0.003,16.0,-9.21252848729117e-05,-0.00960211709982782,-9.21252848729117e-05,-0.00960211709982782,-1.0755058094272787e-39,-2.876020269900548e-47,0.0,1.7585223313386405e-60,6.2598341663312524
hayward,0.0,0.0,0.004,10.0,-0.00016285475343842453,-0.012804982550911078,-0.00016285473070097464,-0.012804982550911078,-1.345096168768665e-40,3.737336480202012e-47,2.220446049250313e-16,1.4279921849095828e-60,3.8507694522236897
hayward,0.0,0.0,0.004,12.0,-0.00016301632896451664,-0.012804982505679428,-0.00016301631259355278,-0.012804982505679428,-4.758676259897382e-40,-9.1220851937447e-48,0.0,3.862062893977366e-60,4.6552497292390145
hayward,0.0,0.0,0.004,14.0,-0.00016365177314851386,-0.012804982501607042,-0.00016365171967003194,-0.012804982501607042,-1.3697995297099761e-39,-6.22811865221294e-47,1.1102230246251565e-16,8.723673655728764e-60,5.458479298216254
hayward,0.0,0.0,0.004,16.0,-0.0001658180033357159,-0.01280498249844073,-0.0001658180033357159,-0.01280498249844073,-3.395139218491487e-39,-1.2112611846989013e-46,1.3877787807814457e-17,3.656021475743421e-60,6.261132709033999
hayward,0.0,0.0,0.005,10.0,-0.00025452963677684553,-0.01600969947089064,-0.00025452961403939564,-0.01600969947089064,-3.2795922082973914e-40,1.1418352738293598e-46,0.0,1.711329201411814e-59,3.8512271394769404
hayward,0.0,0.0,0.005,12.0,-0.0002551304487928615,-0.016009699415414497,-0.0002551304324218976,-0.016009699415414497,-1.1601762219408207e-39,-2.768387739143361e-47,1.1102230246251565e-16,2.675896569480291e-59,4.656000106711888
hayward,0.0,0.0,0.005,14.0,-0.00025755140027626457,-0.01600969941554051,-0.00025755134679778267,-0.01600969941554051,-3.339390656829795e-39,-1.8986725066462253e-46,1.1102230246251565e-16,2.783017037263451e-60,5.459628791448208
hayward,0.0,0.0,0.005,16.0,-0.000265812616432491,-0.01600969942444051,-0.000265812616432491,-0.01600969942444051,-8.27639291171336e-39,-3.693761829350324e-46,0.0,3.680007326925867e-59,6.262804583948096
hayward,0.0,0.0,0.006,10.0,-0.0003667089803325971,-0.01921673119739747,-0.0003667089575951472,-0.01921673119739747,-6.789580333562486e-40,2.8451789301611222e-46,2.220446049250313e-16,1.645890487327573e-58,3.8517869263143214
hayward,0.0,0.0,0.006,12.0,-0.0003684860873498239,-0.019216731135387986,-0.00036848607097886,-0.019216731135387986,-2.401662110774706e-39,-6.841613830455861e-47,0.0,2.338396840522848e-59,4.656918144145973
hayward,0.0,0.0,0.006,14.0,-0.00037571001140627915,-0.019216731139114995,-0.00037570995792779726,-0.019216731139114995,-6.912281516133808e-39,-4.718423151766151e-46,2.7755575615628914e-17,1.5938695982235036e-59,5.46103560520045
hayward,0.0,0.0,0.006,16.0,-0.0004003702713070269,-0.01921673116259202,-0.0004003702713070269,-0.01921673116259202,-1.7130207337766175e-38,-9.183002967857603e-46,1.1102230246251565e-16,7.287041946936621e-59,6.264851528995291
