model,ell_over_ell_ext,ell,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
hayward,0.0,0.0,0.002,0.0,-0.9847396801628242,0.004267092867859208,-0.984329822962571,0.0,0.00040985720025321637,-0.004267092867859208,0.00040985720025321637,-0.004267092867859208,1.3648368050549144e-09,1.8845908238826228e-09
hayward,0.0,0.0,0.004,0.0,-0.9846936392989142,0.008536702669336338,-0.984329822962571,0.0,0.0003638163363431923,-0.008536702669336338,0.0003638163363431923,-0.008536702669336338,5.594840651768557e-08,7.725455024668689e-08
hayward,0.0,0.0,0.006,0.0,-0.9846281847898437,0.012811347680146206,-0.984329822962571,0.0,0.00029836182727271954,-0.012811347680146206,0.00029836182727271954,-0.012811347680146206,6.181490983435686e-07,8.535512188863533e-07
hayward,0.1,0.07698003589195011,0.002,0.07587273189470432,-0.9609336854805951,0.004211762119283973,-0.960538338682449,0.0,0.0003953467981461234,-0.004211762119283973,0.07626807869285045,-0.004211762119283973,1.2899255191958704e-09,1.781151994045271e-09
hayward,0.1,0.07698003589195011,0.004,0.07587273189470432,-0.9608911529394939,0.008426023873889644,-0.960538338682449,0.0,0.00035281425704492,-0.008426023873889644,0.07622554615174924,-0.008426023873889644,5.565006287608511e-08,7.684259206438833e-08
hayward,0.1,0.07698003589195011,0.006,0.07587273189470432,-0.9608315451058521,0.012645286240797108,-0.960538338682449,0.0,0.0002932064234031362,-0.012645286240797108,0.07616593831810746,-0.012645286240797108,6.174771556489335e-07,8.526233885172589e-07
hayward,0.2,0.15396007178390023,0.002,0.3032761620368903,-0.8893050260301952,0.004047180065009828,-0.8889494866194507,0.0,0.0003555394107445098,-0.004047180065009828,0.3036317014476348,-0.004047180065009828,1.0565599430913858e-09,1.4589166750730859e-09
hayward,0.2,0.15396007178390023,0.004,0.3032761620368903,-0.8892730752749043,0.008096807726448538,-0.8889494866194507,0.0,0.0003235886554535661,-0.008096807726448538,0.30359975069234385,-0.008096807726448538,5.47405764499476e-08,7.55867571053744e-08
hayward,0.2,0.15396007178390023,0.006,0.3032761620368903,-0.88923110188503,0.012151331883374531,-0.8889494866194507,0.0,0.0002816152655792381,-0.012151331883374531,0.3035577773024695,-0.012151331883374531,6.154151651986906e-07,8.497761555975299e-07
hayward,0.3,0.2309401076758503,0.002,0.6815615483066595,-0.769216030497531,0.003777612598342799,-0.7689144347626525,0.0,0.0003015957348784237,-0.003777612598342799,0.6818631440415379,-0.003777612598342799,6.414584029807226e-10,8.857371193419897e-10
hayward,0.3,0.2309401076758503,0.004,0.6815615483066595,-0.7692019060876666,0.0075575855517626975,-0.7689144347626525,0.0,0.0002874713250140548,-0.0075575855517626975,0.6818490196316735,-0.0075575855517626975,5.3116531700640194e-08,7.334424736295224e-08
hayward,0.3,0.2309401076758503,0.006,0.6815615483066595,-0.7691896398654628,0.011342280539297162,-0.7689144347626525,0.0,0.0002752051028103164,-0.011342280539297162,0.6818367534094698,-0.011342280539297162,6.117762002536695e-07,8.447514083761033e-07
hayward,0.4,0.30792014356780045,0.002,1.2096308923417791,-0.599584222528227,0.0034102939511634627,-0.5993321444139988,0.0,0.0002520781142281159,-0.0034102939511634627,1.2098829704560072,-0.0034102939511634627,5.566492136169195e-11,7.686310802776227e-11
hayward,0.4,0.30792014356780045,0.004,1.2096308923417791,-0.5995954558815128,0.006822825057557963,-0.5993321444139988,0.0,0.0002633114675139048,-0.006822825057557963,1.209894203809293,-0.006822825057557963,5.0666284862658035e-08,6.996090314916146e-08
hayward,0.4,0.30792014356780045,0.006,1.2096308923417791,-0.5996254484595142,0.010239831773033265,-0.5993321444139988,0.0,0.000293304045515308,-0.010239831773033265,1.2099241963872944,-0.010239831773033265,6.062777574805237e-07,8.371590612488822e-07
hayward,0.5,0.3849001794597505,0.002,1.8859049961570225,-0.37884942875405836,0.0029556385859216125,-0.37861653606928225,0.0,0.00023289268477610925,-0.0029556385859216125,1.8861378888417986,-0.0029556385859216125,8.088458280103552e-10,1.1168686393177394e-09
hayward,0.5,0.3849001794597505,0.004,1.8859049961570225,-0.3788939594963497,0.005913353976824475,-0.37861653606928225,0.0,0.00027742342706743583,-0.005913353976824475,1.88618241958409,-0.005913353976824475,4.723493787818313e-08,6.522283848340364e-08
hayward,0.5,0.3849001794597505,0.006,1.8859049961570225,-0.37897944196159067,0.008875224217468208,-0.37861653606928225,0.0,0.0003629058923084183,-0.008875224217468208,1.886267902049331,-0.008875224217468208,5.98536819703239e-07,8.264702373181304e-07
hayward,0.6,0.4618802153517006,0.002,2.7082651391371506,-0.10491957551381775,0.002427599457482494,-0.1046423629872096,0.0,0.00027721252660815876,-0.002427599457482494,2.7085423516637586,-0.002427599457482494,1.9645006900851607e-09,2.7126173329695205e-09
hayward,0.6,0.4618802153517006,0.004,2.7082651391371506,-0.10500587928228855,0.004857076471687319,-0.1046423629872096,0.0,0.00036351629507895555,-0.004857076471687319,2.7086286554322294,-0.004857076471687319,4.258770428776043e-08,5.880585606574164e-08
hayward,0.6,0.4618802153517006,0.006,2.7082651391371506,-0.10516097603921182,0.007290309896664201,-0.1046423629872096,0.0,0.0005186130520022231,-0.007290309896664201,2.7087837521891527,-0.007290309896664201,5.880008704944038e-07,8.119220121189287e-07
hayward,0.7,0.5388602512436507,0.002,3.6739547731294246,0.22491756074633798,0.001844267234473467,0.22534293441714398,0.0,0.00042537367080600075,-0.001844267234473467,3.674380146800231,-0.001844267234473467,3.530664361986726e-09,4.875203858972655e-09
hayward,0.7,0.5388602512436507,0.004,3.6739547731294246,0.22478032833223152,0.003690171147456656,0.22534293441714398,0.0,0.0005626060849124592,-0.003690171147456656,3.674517379214337,-0.003690171147456656,3.640339981971481e-08,5.026645896745664e-08
hayward,0.7,0.5388602512436507,0.006,3.6739547731294246,0.2245403598080084,0.005539349847411734,0.22534293441714398,0.0,0.0008025746091355757,-0.005539349847411734,3.67475734773856,-0.005539349847411734,5.740835077729892e-07,7.927046712762092e-07
hayward,0.8,0.6158402871356009,0.002,4.779423746997526,0.6141444864337251,0.0012288926707072522,0.614869243983395,0.0,0.000724757549669941,-0.0012288926707072522,4.780148504547196,-0.0012288926707072522,5.55529441291995e-09,7.670848877946215e-09
hayward,0.8,0.6158402871356009,0.004,4.779423746997526,0.613946318722188,0.0024591349480138237,0.614869243983395,0.0,0.0009229252612070749,-0.0024591349480138237,4.780346672258733,-0.0024591349480138237,2.832952418579891e-08,3.9117908549966426e-08
hayward,0.8,0.6158402871356009,0.006,4.779423746997526,0.6136048008424793,0.0036920776747941873,0.614869243983395,0.0,0.001264443140915783,-0.0036920776747941873,4.7806881901384415,-0.0036920776747941873,5.560300658976064e-07,7.677761591110475e-07
hayward,0.9,0.6928203230275509,0.002,6.020093685634705,1.0672941619031637,0.0006114734486519383,1.0685238173244396,0.0,0.0012296554212758437,-0.0006114734486519383,6.0213233410559805,-0.0006114734486519383,8.136002513350869e-09,1.123433631266377e-08
hayward,0.9,0.6928203230275509,0.004,6.020093685634705,1.067023970702282,0.0012239525978307748,1.0685238173244396,0.0,0.00149984662215763,-0.0012239525978307748,6.021593532256862,-0.0012239525978307748,1.809945175845592e-08,2.4992043425960296e-08
hayward,0.9,0.6928203230275509,0.006,6.020093685634705,1.0665624262774442,0.0018384443713101498,1.0685238173244396,0.0,0.001961391046995331,-0.0018384443713101498,6.0220550766817,-0.0018384443713101498,5.330928946845848e-07,7.361041070138463e-07
hayward,0.95,0.731310340973526,0.002,6.689336353640181,1.3196717783163134,0.00031285976287221686,1.3212497565444552,0.0,0.0015779782281417631,-0.00031285976287221686,6.690914331868322,-0.00031285976287221686,9.522642764302805e-09,1.3149033720661015e-08
hayward,0.95,0.731310340973526,0.004,6.689336353640181,1.319361046081037,0.0006265247476236773,1.3212497565444552,0.0,0.0018887104634182084,-0.0006265247476236773,6.691225064103599,-0.0006265247476236773,1.21927340554965e-08,1.6835943047405394e-08
hayward,0.95,0.731310340973526,0.006,6.689336353640181,1.3188319409169706,0.00094180105690061,1.3212497565444552,0.0,0.002417815627484554,-0.00094180105690061,6.691754169267666,-0.00094180105690061,5.195437106850572e-07,7.173951538682906e-07
hayward,0.99,0.762102355330306,0.002,7.247415034064196,1.5347491042504138,7.624810300558119e-05,1.5366589245977857,0.0,0.001909820347371971,-7.624810300558119e-05,7.249324854411568,-7.624810300558119e-05,1.1102968191990182e-08,1.5331175049769154e-08
hayward,0.99,0.762102355330306,0.004,7.247415034064196,1.5344042688044197,0.00015314708226767985,1.5366589245977857,0.0,0.002254655793366034,-0.00015314708226767985,7.249669689857562,-0.00015314708226767985,6.825268239081673e-09,9.424451220890746e-09
hayward,0.99,0.762102355330306,0.006,7.247415034064196,1.5338183278786675,0.00023133821274975663,1.5366589245977857,0.0,0.0028405967191182935,-0.00023133821274975663,7.250255630783315,-0.00023133821274975663,5.070538422886179e-07,7.001489224624677e-07
fan_wang,0.0,0.0,0.002,0.0,-0.9847619071341085,0.004266998045261504,-0.9843520455797109,0.0,0.00040986155439759475,-0.004266998045261504,0.00040986155439759475,-0.004266998045261504,1.3628233349907682e-09,1.8818105887307895e-09
fan_wang,0.0,0.0,0.004,0.0,-0.9847158675066197,0.008536512964672746,-0.9843520455797109,0.0,0.00036382192690875836,-0.008536512964672746,0.00036382192690875836,-0.008536512964672746,5.5948180236562594e-08,7.725423779373955e-08
fan_wang,0.0,0.0,0.006,0.0,-0.9846504153104398,0.012811062997272903,-0.9843520455797109,0.0,0.00029836973072894235,-0.012811062997272903,0.00029836973072894235,-0.012811062997272903,6.181474999805937e-07,8.535490118384224e-07
fan_wang,0.1,0.02962962962962963,0.002,0.005678307779997435,-1.2188117904356992,0.0033834698487559913,-1.2183497015627687,0.0,0.0004620888729305328,-0.0033834698487559913,0.006140396652927968,-0.0033834698487559913,1.2998949277606848e-09,1.7949179299633246e-09
fan_wang,0.1,0.02962962962962963,0.004,0.005678307779997435,-1.2187789800136117,0.006768957534709725,-1.2183497015627687,0.0,0.0004292784508430625,-0.006768957534709725,0.006107586230840498,-0.006768957534709725,5.537531188305638e-08,7.646321102896097e-08
fan_wang,0.1,0.02962962962962963,0.006,0.005678307779997435,-1.218735491308686,0.010158482007689795,-1.2183497015627687,0.0,0.00038578974591740867,-0.010158482007689795,0.006064097525914844,-0.010158482007689795,6.135839000998208e-07,8.472475123277338e-07
fan_wang,0.2,0.05925925925925926,0.002,0.04601264753181697,-1.4755947915896173,0.002623435484024015,-1.4750643092034967,0.0,0.0005304823861205232,-0.002623435484024015,0.04654312991793749,-0.002623435484024015,1.2346107043781933e-09,1.7047723185074319e-09
fan_wang,0.2,0.05925925925925926,0.004,0.04601264753181697,-1.4755757789648618,0.005248459189240249,-1.4750643092034967,0.0,0.0005114697613650687,-0.005248459189240249,0.04652411729318204,-0.005248459189240249,5.4799234020429245e-08,7.566775251717757e-08
fan_wang,0.2,0.05925925925925926,0.006,0.04601264753181697,-1.4755552013481787,0.007876660229956712,-1.4750643092034967,0.0,0.0004908921446820091,-0.007876660229956712,0.04650353967649898,-0.007876660229956712,6.089795615675313e-07,8.408897601657722e-07
fan_wang,0.3,0.08888888888888888,0.002,0.15726223710794124,-1.7541314639518346,0.0019785759055336908,-1.7535037883497036,0.0,0.0006276756021310614,-0.0019785759055336908,0.1578899127100723,-0.0019785759055336908,1.1964076951553104e-09,1.652020927019514e-09
fan_wang,0.3,0.08888888888888888,0.004,0.15726223710794124,-1.7541274819116015,0.00395837417849298,-1.7535037883497036,0.0,0.0006236935618979533,-0.00395837417849298,0.1578859306698392,-0.00395837417849298,5.4288828214419365e-08,7.496297514385795e-08
fan_wang,0.3,0.08888888888888888,0.006,0.15726223710794124,-1.7541318696671413,0.005940617900325921,-1.7535037883497036,0.0,0.0006280813174377453,-0.005940617900325921,0.15789031842537898,-0.005940617900325921,6.044251659028139e-07,8.346009699995628e-07
fan_wang,0.4,0.11851851851851852,0.002,0.377404799551196,-2.0539491509076457,0.0014405292401020436,-2.0531789285529602,0.0,0.0007702223546854903,-0.0014405292401020436,0.3781750219058815,-0.0014405292401020436,1.1426827851494824e-09,1.5778366201200134e-09
fan_wang,0.4,0.11851851851851852,0.004,0.377404799551196,-2.0539620173406217,0.00288197329293536,-2.0531789285529602,0.0,0.0007830887876614234,-0.00288197329293536,0.3781878883388574,-0.00288197329293536,5.376667281227157e-08,7.424197372016446e-08
fan_wang,0.4,0.11851851851851852,0.006,0.377404799551196,-2.0539944011490565,0.004325247467197937,-2.0531789285529602,0.0,0.0008154725960962672,-0.004325247467197937,0.37822027214729226,-0.004325247467197937,5.999070847026461e-07,8.283623234889068e-07
fan_wang,0.5,0.14814814814814814,0.002,0.7460815195120083,-2.3750056604851544,0.001000989275554213,-2.3740269300924353,0.0,0.0009787303927191182,-0.001000989275554213,0.7470602499047274,-0.001000989275554213,1.1308748103085193e-09,1.561531959407142e-09
fan_wang,0.5,0.14814814814814814,0.004,0.7460815195120083,-2.375037703418939,0.0020026388224261174,-2.3740269300924353,0.0,0.0010107733265036778,-0.0020026388224261174,0.747092292838512,-0.0020026388224261174,5.335328723969531e-08,7.367116360284098e-08
fan_wang,0.5,0.14814814814814814,0.006,0.7460815195120083,-2.3751019637196786,0.003005609309076481,-2.3740269300924353,0.0,0.0010750336272433714,-0.003005609309076481,0.7471565531392517,-0.003005609309076481,5.955800476520251e-07,8.223874741222644e-07
fan_wang,0.6,0.17777777777777776,0.002,1.3045183760503467,-2.717621829097391,0.0006517164823470439,-2.7163436517310666,0.0,0.0012781773663244067,-0.0006517164823470439,1.3057965534166711,-0.0006517164823470439,1.181863218313149e-09,1.6319376558910338e-09
fan_wang,0.6,0.17777777777777776,0.004,1.3045183760503467,-2.7176758176636833,0.0013038866866182286,-2.7163436517310666,0.0,0.0013321659326166468,-0.0013038866866182286,1.3058505419829634,-0.0013038866866182286,5.3144073616321074e-08,7.338227772768283e-08
fan_wang,0.6,0.17777777777777776,0.006,1.3045183760503467,-2.717776567437524,0.001956964764386799,-2.7163436517310666,0.0,0.0014329157064572051,-0.001956964764386799,1.305951291756804,-0.001956964764386799,5.915094156284365e-07,8.167666733563975e-07
fan_wang,0.7,0.20740740740740737,0.002,2.09542385182234,-3.0823929307359106,0.00038456665200977026,-3.080694580230854,0.0,0.0016983505050567338,-0.00038456665200977026,2.0971222023273968,-0.00038456665200977026,1.2152334323085626e-09,1.67801583817457e-09
fan_wang,0.7,0.20740740740740737,0.004,2.09542385182234,-3.082472008352131,0.000769423740631008,-3.080694580230854,0.0,0.0017774281212772358,-0.000769423740631008,2.0972012799436173,-0.000769423740631008,5.308281630803176e-08,7.329769255186549e-08
fan_wang,0.7,0.20740740740740737,0.006,2.09542385182234,-3.0826144880168367,0.0011548621172609121,-3.080694580230854,0.0,0.0019199077859828328,-0.0011548621172609121,2.097343759608323,-0.0011548621172609121,5.878195244240112e-07,8.116716062543945e-07
fan_wang,0.8,0.23703703703703705,0.002,3.16286301865158,-3.470062633732737,0.00019156993686112077,-3.467788241466022,0.0,0.0022743922667149974,-0.00019156993686112077,3.165137410918295,-0.00019156993686112077,1.3901443175074878e-09,1.9195358851290385e-09
fan_wang,0.8,0.23703703703703705,0.004,3.16286301865158,-3.470170260604354,0.0003833058166978807,-3.467788241466022,0.0,0.0023820191383321365,-0.0003833058166978807,3.165245037789912,-0.0003833058166978807,5.327860048021411e-08,7.35680348030382e-08
fan_wang,0.8,0.23703703703703705,0.006,3.16286301865158,-3.470360239518791,0.0005753732307781029,-3.467788241466022,0.0,0.0025719980527689756,-0.0005753732307781029,3.165435016704349,-0.0005753732307781029,5.847758159513621e-07,8.074687997086436e-07
fan_wang,0.9,0.26666666666666666,0.002,4.552107999485091,-3.8813171825818378,6.520081341642086e-05,-3.8782698575092907,0.0,0.0030473250725471246,-6.520081341642086e-05,4.555155324557638,-6.520081341642086e-05,1.4304227097818476e-09,1.9751530022696164e-09
fan_wang,0.9,0.26666666666666666,0.004,4.552107999485091,-3.8814570851721664,0.00013047700590266873,-3.8782698575092907,0.0,0.0031872276628757135,-0.00013047700590266873,4.555295227147966,-0.00013047700590266873,5.3514050782443305e-08,7.389314874878305e-08
fan_wang,0.9,0.26666666666666666,0.006,4.552107999485091,-3.881700776557282,0.00019590298489060906,-3.8782698575092907,0.0,0.00343091904799131,-0.00019590298489060906,4.555538918533082,-0.00019590298489060906,5.823379111490028e-07,8.041024975960682e-07
fan_wang,0.95,0.28148148148148144,0.002,5.381843132082527,-4.095890007303785,2.5041918348700585e-05,-4.092367820868799,0.0,0.003522186434985919,-2.5041918348700585e-05,5.385365318517513,-2.5041918348700585e-05,2.165564205076943e-09,2.990249394122409e-09
fan_wang,0.95,0.28148148148148144,0.004,5.381843132082527,-4.096047521273461,5.012631852717716e-05,-4.092367820868799,0.0,0.003679700404662256,-5.012631852717716e-05,5.385522832487189,-5.012631852717716e-05,5.408578468345821e-08,7.46826090414451e-08
fan_wang,0.95,0.28148148148148144,0.006,5.381843132082527,-4.096320520253335,7.529066445983548e-05,-4.092367820868799,0.0,0.003952699384536018,-7.529066445983548e-05,5.385795831467063,-7.529066445983548e-05,5.81685061684268e-07,8.032010314968631e-07
fan_wang,0.99,0.29333333333333333,0.002,6.115826111463141,-4.271780503316859,3.7594005301068744e-06,-4.267830071765863,0.0,0.003950431550996392,-3.7594005301068744e-06,6.1197765430141375,-3.7594005301068744e-06,6.034518125342834e-09,8.33256946433909e-09
fan_wang,0.99,0.29333333333333333,0.004,6.115826111463141,-4.271952711095432,7.572178037913951e-06,-4.267830071765863,0.0,0.004122639329569466,-7.572178037913951e-06,6.119948750792711,-7.572178037913951e-06,5.76983711948298e-08,7.96709324546758e-08
fan_wang,0.99,0.29333333333333333,0.006,6.115826111463141,-4.272250469234503,1.137467327761111e-05,-4.267830071765863,0.0,0.004420397468640758,-1.137467327761111e-05,6.120246508931782,-1.137467327761111e-05,5.780320510334021e-07,7.981568897161304e-07
