model,ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
hayward,0.5,0.0,1.8859049961570225,nan,0.0,nan,0.0,0.0,0.0,1.8859049961570225,0.0,0.0,0.0
hayward,0.5,0.0005,1.8859049961570225,-0.37883588970865584,0.0007388285320626325,-0.37861653606928225,0.0,0.00021935363937358732,-0.0007388285320626325,1.886124349796396,-0.0007388285320626325,9.255859735192222e-11,1.2780654989071216e-10
hayward,0.5,0.001,1.8859049961570225,-0.378838593666561,0.0014776895089822152,-0.37861653606928225,0.0,0.0002220575972787242,-0.0014776895089822152,1.8861270537543011,-0.0014776895089822152,4.0332585045329866e-10,5.56919474883359e-10
hayward,0.5,0.0015,1.8859049961570225,-0.37884310316008024,0.0022166153814067624,-0.37861653606928225,0.0,0.0002265670907979911,-0.0022166153814067624,1.8861315632478204,-0.0022166153814067624,7.835607366248486e-10,1.0819545374986436e-09
hayward,0.5,0.002,1.8859049961570225,-0.37884942875405836,0.0029556385859216125,-0.37861653606928225,0.0,0.00023289268477610925,-0.0029556385859216125,1.8861378888417986,-0.0029556385859216125,8.088458280103552e-10,1.1168686393177394e-09
hayward,0.5,0.0025,1.8859049961570225,-0.37885759694096893,0.003694791592953464,-0.37861653606928225,0.0,0.00024106087168668244,-0.003694791592953464,1.8861460570287092,-0.003694791592953464,6.160660723479335e-10,8.506749396151939e-10
hayward,0.5,0.003,1.8859049961570225,-0.3788676637554258,0.00443410683439302,-0.37861653606928225,0.0,0.0002511276861435485,-0.00443410683439302,1.886156123843166,-0.00443410683439302,5.853320739335198e-09,8.082368905774828e-09
hayward,0.5,0.0035,1.8859049961570225,-0.37887972969002104,0.005173616806149775,-0.37861653606928225,0.0,0.0002631936207387886,-0.005173616806149775,1.8861681897777611,-0.005173616806149775,1.9091944455849553e-08,2.636249491402501e-08
hayward,0.5,0.004,1.8859049961570225,-0.3788939594963497,0.005913353976824475,-0.37861653606928225,0.0,0.00027742342706743583,-0.005913353976824475,1.88618241958409,-0.005913353976824475,4.723493787818313e-08,6.522283848340364e-08
hayward,0.5,0.0045,1.8859049961570225,-0.37891060553223876,0.006653350775070349,-0.37861653606928225,0.0,0.00029406946295651437,-0.006653350775070349,1.886199065619979,-0.006653350775070349,1.0085450590060542e-07,1.3926168730537284e-07
hayward,0.5,0.005,1.8859049961570225,-0.37893003222646654,0.007393639762902142,-0.37861653606928225,0.0,0.0003134961571842898,-0.007393639762902142,1.8862184923142067,-0.007393639762902142,1.9515408800004987e-07,2.6947221977582415e-07
