model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.1,0.002,10.0,-0.9602029760281662,0.004211763531626847,1.4634650306821761e-05,0.004211763531626847,-0.002699430847673396,-9.908316919383926e-05,1.1102230246251565e-16,1.631940375314535e-19,3.973684671473387
hayward,0.1,0.002,12.0,-0.9604228245223189,0.00421176309753836,1.4626788453209194e-05,0.00421176309753836,-0.0027864836269952094,-9.908338721400985e-05,1.1188630228279524e-16,2.235717751489254e-19,4.7898504017505985
hayward,0.1,0.002,14.0,-0.9605018481341242,0.00421176303322298,1.4625899187992175e-05,0.00421176303322298,-0.002827414985719828,-9.908343504214575e-05,6.938893903907228e-18,3.93680147543451e-19,5.601395661977707
hayward,0.1,0.002,16.0,-0.9605348319481544,0.004211763021356944,1.464626802150093e-05,0.004211763021356944,-0.002848736132063995,-9.908344343109661e-05,1.1102230246251565e-16,1.1893576263592468e-19,6.41009804729734
hayward,0.1,0.004,10.0,-0.9601590524027211,0.008426026697732139,5.855827575185213e-05,0.008426026697732139,-0.002696284008256652,-0.00019822362677041116,2.220446049250313e-16,1.6432439176733427e-19,3.9743559624209355
hayward,0.1,0.004,12.0,-0.96037880555935,0.008426025829106454,5.864575142211503e-05,0.008426025829106454,-0.0027831948490399023,-0.00019822406538243256,1.3877787807814457e-17,9.632369890744463e-20,4.790940989132332
hayward,0.1,0.004,14.0,-0.9604573516167715,0.008426025699685119,5.9122416540713374e-05,0.008426025699685119,-0.0028240417225564554,-0.00019822416249848712,1.1102230246251565e-16,4.886433157332423e-20,5.6030524532431984
hayward,0.1,0.004,16.0,-0.9604886573501699,0.008426025673592047,6.0820866006006113e-05,0.008426025673592047,-0.0028453202673645755,-0.00019822422719252948,0.0,6.589916329638457e-19,6.412490147710147
hayward,0.1,0.006,10.0,-0.9600856222611753,0.012645290472246634,0.0001319884172976682,0.012645290472246634,-0.0026910425359695177,-0.00029747869313333166,2.2887833992611187e-16,1.3157123935640853e-19,3.9754761319837435
hayward,0.1,0.006,12.0,-0.9603041059000075,0.012645289176794583,0.00013334541076459594,0.012645289176794583,-0.0027777300932861986,-0.00029747934815739025,1.1443916996305594e-16,8.571370772892337e-20,4.792761720082366
hayward,0.1,0.006,14.0,-0.9603773775682798,0.01264528898982717,0.0001390964650324067,0.01264528898982717,-0.002818483982254666,-0.00029747948576341584,0.0,6.673845640755091e-20,5.605820045763449
hayward,0.1,0.006,16.0,-0.9603908049777934,0.012645288971127516,0.0001586732383824785,0.012645288971127516,-0.0028398329094680105,-0.00029747947690592156,2.7755575615628914e-17,5.313212918655387e-19,6.4164886674087
