model,ell_over_ell_ext,control,control_value,frequency_M,damping_M,complex_shift,fit_residual
hayward,0.6,spacing,0.08,0.37361397168434857,0.08586352329007027,3.904743683635518e-06,0.009542495931952283
hayward,0.6,spacing,0.12,0.3736128472856471,0.08585865131207492,4.690422606793318e-06,0.009561583371454867
hayward,0.6,outer_radius,220.0,0.3736176818136609,0.08586157470980593,9.692975754699383e-07,0.009541618535102143
hayward,0.6,horizon_offset,2e-08,0.37362266927071186,0.08586567646906354,7.426712054864041e-06,0.00953914114730205
hayward,0.6,fit_window,55,0.3720758483717246,0.08689605510515576,0.0018564268638430889,0.012339849514978442
hayward,0.6,fit_window,65,0.37566667354203825,0.0857079789357039,0.0020554499989356937,0.003613242520249236
hayward,0.6,fit_window,70,0.3762324566515148,0.08603222901592594,0.0026211324610147923,0.0031485152835280827
hayward,0.9,spacing,0.08,0.37631684719422476,0.0816531237875125,1.887812691950644e-05,0.01198504126411118
hayward,0.9,spacing,0.12,0.3763345813087474,0.08165880030700069,1.5792856317488615e-06,0.01195632108404735
hayward,0.9,outer_radius,220.0,0.3763355146574958,0.08165747318340424,2.9248924941197546e-07,0.011949948761567698
hayward,0.9,horizon_offset,2e-08,0.3763424144469226,0.08166502464984826,1.0492412033001321e-05,0.011927003933629412
hayward,0.9,fit_window,55,0.37536217456353455,0.082391859333106,0.0012191560625599937,0.011125759829474804
hayward,0.9,fit_window,65,0.3786188927820315,0.08080119295705823,0.002438870869859314,0.006095458624587865
hayward,0.9,fit_window,70,0.379621274148087,0.08141162597068097,0.0032952074772190096,0.00338298668312536
hayward,0.97,spacing,0.08,0.3769917007692318,0.08039621599959693,7.3514827423043865e-06,0.012823625067651867
hayward,0.97,spacing,0.12,0.3770152638424515,0.08040157001071291,3.0803111003072764e-05,0.012782913450804475
hayward,0.97,outer_radius,220.0,0.3769862720411886,0.08039133855654207,5.894076239559248e-08,0.012844586013344964
hayward,0.97,horizon_offset,2e-08,0.37698719984686385,0.0803916069239401,1.0247726433885652e-06,0.012842514725449396
hayward,0.97,fit_window,55,0.37609719784745366,0.08110835846001928,0.001142144918583464,0.011369119236642853
hayward,0.97,fit_window,65,0.37932340004735,0.07935803017459583,0.002555410197460182,0.007028024029508815
hayward,0.97,fit_window,70,0.38043530938529213,0.08003960151166985,0.003466980553102405,0.003962135041095761
fan_wang,0.6,spacing,0.08,0.43978667982263525,0.09057426320368932,0.00013424969095320087,0.09235851128399535
fan_wang,0.6,spacing,0.12,0.43989873812960895,0.09056619848939146,2.2740354659413768e-05,0.09232990468548155
fan_wang,0.6,outer_radius,220.0,0.4399636992586688,0.09055357082287682,4.398271637639549e-05,0.09224383091611596
fan_wang,0.6,horizon_offset,2e-08,0.4396634392839712,0.09063091754666854,0.00026666950279594385,0.0924941014104967
fan_wang,0.6,fit_window,55,0.42530294114396894,0.07377628193994486,0.022254922308090966,0.15173181198930516
fan_wang,0.6,fit_window,65,0.43535580317122613,0.1109078849362112,0.020855464981725566,0.08777743212500327
fan_wang,0.6,fit_window,70,0.41569561127773313,0.12021061234123048,0.038289649329584674,0.09485698733374875
fan_wang,0.9,spacing,0.08,0.427667327052475,0.09321790641258428,0.0006443721565706915,0.23084002507725676
fan_wang,0.9,spacing,0.12,0.4279104971961442,0.09356152511858835,0.0010645245891631441,0.23152468497892081
fan_wang,0.9,outer_radius,220.0,0.4272604218145974,0.09273031176860956,9.297057016374651e-06,0.22994422675886703
fan_wang,0.9,horizon_offset,2e-08,0.4283091156691815,0.09412247752414593,0.0017522393031646295,0.2323343217609751
fan_wang,0.9,fit_window,55,0.45638621760894166,0.11577541778336815,0.03714922149962277,0.1679478912729113
fan_wang,0.9,fit_window,65,0.45046300837111214,0.0660745916670514,0.035338109794634455,0.2264610362621699
fan_wang,0.9,fit_window,70,0.47914081676267933,0.08540984495053214,0.05239920304478365,0.16833794834536614
fan_wang,0.97,spacing,0.08,0.4439503003147478,0.07406302261122583,0.0006660732667748808,0.2815482027477101
fan_wang,0.97,spacing,0.12,0.44249460611970864,0.07412219225238574,0.0007911711185632484,0.28399046349194573
fan_wang,0.97,outer_radius,220.0,0.4433468085723452,0.07407258879505671,6.250861407737728e-05,0.2827634005554238
fan_wang,0.97,horizon_offset,2e-08,0.4433449096910015,0.07407225434575024,6.062027388273164e-05,0.2827702737139965
fan_wang,0.97,fit_window,55,0.4323967791925352,0.11449146109051762,0.041858004813028274,0.18991392946247973
fan_wang,0.97,fit_window,65,0.4756726364460638,0.08165868219999321,0.03326450297362607,0.2355589716757815
fan_wang,0.97,fit_window,70,0.4657543465434709,0.1088504206729257,0.041403945636773645,0.16787822734245342
