model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
bardeen,0.6,0.1,0,0.3240446802839615,-4.427903769199659e-07,0.32404468028426403
bardeen,0.6,0.1125,0,0.3327957308122508,-1.0783200219410816e-06,0.33279573081399777
bardeen,0.6,0.125,0,0.33672753257248933,-2.4503451294954903e-06,0.33672753258140486
bardeen,0.6,0.1375,0,0.3360543177321061,-5.266841739196004e-06,0.33605431777337863
bardeen,0.6,0.15000000000000002,0,0.33095245457914585,-1.0815883884532362e-05,0.33095245475588325
bardeen,0.6,0.1625,0,0.32157038094895524,-2.1382500447537922e-05,0.3215703816598592
bardeen,0.6,0.17500000000000002,0,0.30803161120297373,-4.093660573804836e-05,0.3080316139231583
bardeen,0.6,0.1875,0,0.29043295777299194,-7.625752241890993e-05,0.290432967784269
bardeen,0.6,0.2,0,0.26883911148056694,-0.0001387597198459073,0.26883914729056957
bardeen,0.6,0.21250000000000002,0,0.24327409331150368,-0.00024744426036878153,0.24327421915442704
bardeen,0.6,0.225,0,0.21370959677141718,-0.0004336604543294445,0.2137100367638155
bardeen,0.6,0.23750000000000002,0,0.18004979151139786,-0.0007487890192688432,0.18005134853228177
bardeen,0.6,0.25,0,0.1421117314322374,-0.001276665478130764,0.14211746579999035
bardeen,0.6,0.2625,0,0.09960013809530424,-0.002153746287791705,0.09962342160192979
bardeen,0.6,0.275,0,0.05207514485818695,-0.0036020163981549183,0.052199571206416356
bardeen,0.6,0.2875,0,-0.001088055430548171,-0.005983016015149528,0.006081146705801555
bardeen,0.6,0.30000000000000004,0,-0.06074691992829032,-0.009887059699628983,0.061546260895997115
bardeen,0.6,0.3125,0,-0.12804046211826073,-0.016281123131840602,0.12907143336111176
bardeen,0.6,0.325,0,-0.20441896702340895,-0.026753537535435995,0.20616223186989788
bardeen,0.6,0.3375,0,-0.2915992810089397,-0.04391324440459787,0.2948872898567664
bardeen,0.6,0.35,0,-0.391310048137491,-0.0720154128845901,0.39788160734859745
bardeen,0.6,0.36250000000000004,0,-0.5045218973660665,-0.11784525550568042,0.5181021609364844
bardeen,0.6,0.375,0,-0.6295661598081354,-0.19163691901512903,0.6580868166930361
bardeen,0.6,0.38750000000000007,0,-0.7583149598953693,-0.3069411266506146,0.8180797232731443
bardeen,0.6,0.4,0,-0.8705278446988344,-0.4764660487838157,0.9923903586994683
