ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,k_direct_real
0.0,0.0,0.001,0.0,-1.0177772526303488e-05,-0.0032000886806473573,-1.0177772526303488e-05,-0.0032000886806473573,3.301698265782858e-11,4.5590434145898723e-11,0.016,1.9999999166790479,2.000026280929018,-1.0177772526303488e-05
0.0,0.0,0.002,0.0,-4.0686730073191175e-05,-0.006400640091249701,-4.0686730073191175e-05,-0.006400640091249701,1.1875378513365108e-09,1.63977328965597e-09,0.032,1.9999999166790479,2.000026280929018,-4.0686730073191175e-05
0.0,0.0,0.003,0.0,-9.1308963320323e-05,-0.009602117033797956,-9.1308963320323e-05,-0.009602117033797956,1.2575530489048164e-08,1.7364515140198903e-08,0.048,1.9999999166790479,2.000026280929018,-9.1308963320323e-05
0.0,0.0,0.004,0.0,-0.00016120015737034916,-0.012804982403317264,-0.00016120015737034916,-0.012804982403317264,6.977392555292674e-08,9.634507170167439e-08,0.064,1.9999999166790479,2.000026280929018,-0.00016120015737034916
0.0,0.0,0.005,0.0,-0.00024816898278574244,-0.016009699284828115,-0.00024816898278574244,-0.016009699284828115,2.6501730492237874e-07,3.659405865811845e-07,0.08,1.9999999166790479,2.000026280929018,-0.00024816898278574244
0.0,0.0,0.006,0.0,-0.0003476683669179321,-0.019216730971095716,-0.0003476683669179321,-0.019216730971095716,7.899442270264234e-07,1.0907689740831074e-06,0.096,1.9999999166790479,2.000026280929018,-0.0003476683669179321
0.1,0.07698003589195011,0.002,-0.00020261707742376915,-4.0507207585864144e-05,-0.0063377487534793135,-0.0002431242850096333,-0.0063377487534793135,1.1982207512708487e-09,1.6545244270268727e-09,0.032,1.9999999031670614,2.00002627354426,-0.0002431242850096333
0.1,0.07698003589195011,0.004,-0.00020261707742376915,-0.00016048237053701265,-0.01267918056923528,-0.00036309944796078183,-0.01267918056923528,6.978535262573227e-08,9.63608504060145e-08,0.064,1.9999999031670614,2.00002627354426,-0.00036309944796078183
0.1,0.07698003589195011,0.006,-0.00020261707742376915,-0.0003460529663521869,-0.019027980271537452,-0.0005486700437759561,-0.019027980271537452,7.899900853417864e-07,1.0908322960569937e-06,0.096,1.9999999031670614,2.00002627354426,-0.0005486700437759561
0.2,0.15396007178390023,0.002,-0.003251965678733085,-3.993205410858583e-05,-0.006145462185501015,-0.003291897732841671,-0.006145462185501015,1.1877008408233143e-09,1.6399983484290281e-09,0.032,1.9999998623961381,2.000026251393487,-0.003291897732841671
0.2,0.15396007178390023,0.004,-0.003251965678733085,-0.00015818222156753286,-0.012294547538057636,-0.0034101479003006176,-0.012294547538057636,6.976086986748175e-08,9.632704418008921e-08,0.064,1.9999998623961381,2.000026251393487,-0.0034101479003006176
0.2,0.15396007178390023,0.006,-0.003251965678733085,-0.00034087574525334816,-0.018450881021781725,-0.003592841423986433,-0.018450881021781725,7.901008501032491e-07,1.0909852420005589e-06,0.096,1.9999998623961381,2.000026251393487,-0.003592841423986433
0.3,0.2309401076758503,0.002,-0.01654844906481899,-3.884974033434441e-05,-0.00581377027467842,-0.016587298805153333,-0.00581377027467842,1.1952372318172262e-09,1.6504047305336661e-09,0.032,1.9999997936613259,2.0000262144871623,-0.016587298805153333
0.3,0.2309401076758503,0.004,-0.01654844906481899,-0.00015385274967111317,-0.011631056126667242,-0.016702301814490103,-0.011631056126667242,6.978253977894807e-08,9.635696637745329e-08,0.064,1.9999997936613259,2.0000262144871623,-0.016702301814490103
0.3,0.2309401076758503,0.006,-0.01654844906481899,-0.000331132856592881,-0.0174553750342518,-0.01687958192141187,-0.0174553750342518,7.902630303346171e-07,1.0912091833352582e-06,0.096,1.9999997936613259,2.0000262144871623,-0.01687958192141187
0.4,0.30792014356780045,0.002,-0.0526815487326091,-3.707006909372443e-05,-0.005328831741428288,-0.052718618801702824,-0.005328831741428288,1.2092812707985499e-09,1.6697969882027142e-09,0.032,1.9999996957876744,2.0000261628427323,-0.052718618801702824
0.4,0.30792014356780045,0.004,-0.0526815487326091,-0.00014673560239207264,-0.010661012632264256,-0.052828284335001176,-0.010661012632264256,6.976034712511696e-08,9.632632236809013e-08,0.064,1.9999996957876744,2.0000261628427323,-0.052828284335001176
0.4,0.30792014356780045,0.006,-0.0526815487326091,-0.0003151170630422196,-0.015999893639994198,-0.05299666579565132,-0.015999893639994198,7.904292619509378e-07,1.091438718894045e-06,0.096,1.9999996957876744,2.0000261628427323,-0.05299666579565132
0.5,0.3849001794597505,0.001,-0.12982766841966684,-8.585278634109524e-06,-0.0023385869020223025,-0.12983625369830096,-0.0023385869020223025,5.342147151517344e-11,7.376531366715815e-11,0.016,1.9999995671301465,2.0000260964846337,-0.12983625369830096
0.5,0.3849001794597505,0.002,-0.12982766841966684,-3.43178723667913e-05,-0.004677562369445289,-0.12986198629203363,-0.004677562369445289,1.189204016788772e-09,1.6420739604155918e-09,0.032,1.9999995671301465,2.0000260964846337,-0.12986198629203363
0.5,0.3849001794597505,0.003,-0.12982766841966684,-7.697997335317938e-05,-0.00701731503739138,-0.12990464839302002,-0.00701731503739138,1.2545477582369678e-08,1.732301755458834e-08,0.048,1.9999995671301465,2.0000260964846337,-0.12990464839302002
0.5,0.3849001794597505,0.004,-0.12982766841966684,-0.00013572723385196254,-0.009358233628552693,-0.1299633956535188,-0.009358233628552693,6.974915005625686e-08,9.631086125724968e-08,0.064,1.9999995671301465,2.0000260964846337,-0.1299633956535188
0.5,0.3849001794597505,0.005,-0.12982766841966684,-0.0002083667050944817,-0.011700707017583727,-0.1300360351247613,-0.011700707017583727,2.651841536405222e-07,3.6617097424523556e-07,0.08,1.9999995671301465,2.0000260964846337,-0.1300360351247613
0.5,0.3849001794597505,0.006,-0.12982766841966684,-0.00029034718431000003,-0.014045124344834858,-0.13011801560397684,-0.014045124344834858,7.906461430485398e-07,1.0917381921534427e-06,0.096,1.9999995671301465,2.0000260964846337,-0.13011801560397684
0.6,0.4618802153517006,0.002,-0.27235831329073157,-3.0216384462997036e-05,-0.003854852550611828,-0.27238852967519456,-0.003854852550611828,1.1501337400365529e-09,1.5881250305706175e-09,0.032,1.9999994055735126,2.0000260154442464,-0.27238852967519456
0.6,0.4618802153517006,0.004,-0.27235831329073157,-0.00011932244433943105,-0.007712482068832039,-0.272477635735071,-0.007712482068832039,6.970553899734354e-08,9.625064233492234e-08,0.064,1.9999994055735126,2.0000260154442464,-0.272477635735071
0.6,0.4618802153517006,0.006,-0.27235831329073157,-0.00025343498198846377,-0.011575667184270057,-0.27261174827272006,-0.011575667184270057,7.908724909840948e-07,1.0920507373902338e-06,0.096,1.9999994055735126,2.0000260154442464,-0.27261174827272006
0.7,0.5388602512436507,0.002,-0.5117609899865001,-2.4257533686524754e-05,-0.0028747044915021147,-0.5117852475201866,-0.0028747044915021147,1.1642297651456575e-09,1.607589071596053e-09,0.032,1.999999208532225,2.000025919759941,-0.5117852475201866
0.7,0.5388602512436507,0.004,-0.5117609899865001,-9.548870402558382e-05,-0.005751742926570288,-0.5118564786905256,-0.005751742926570288,6.970655962785333e-08,9.625205163960381e-08,0.064,1.999999208532225,2.000025919759941,-0.5118564786905256
0.7,0.5388602512436507,0.006,-0.5117609899865001,-0.00019980992418055667,-0.008633450862676317,-0.5119607999106807,-0.008633450862676317,7.911718212272886e-07,1.092464057889354e-06,0.096,1.999999208532225,2.000025919759941,-0.5119607999106807
0.8,0.6158402871356009,0.001,-0.8880775921238983,-3.94027133499875e-06,-0.0008940999711587756,-0.8880815323952332,-0.0008940999711587756,7.52443233262097e-12,1.0389869386976823e-11,0.016,1.9999989729502625,2.000025809477053,-0.8880815323952332
