model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,k_direct_real
hayward,0.0,0.0,0.001,0.0,-1.0177714214427394e-05,-0.0032000886764302844,-1.0177714214427394e-05,-0.0032000886764302844,3.875653673486054e-11,5.3515712044821434e-11,0.016,33.94112549695425,8.485156186188302,-1.0177714214427394e-05
hayward,0.0,0.0,0.002,0.0,-4.0686624278829236e-05,-0.006400640087667508,-4.0686624278829236e-05,-0.006400640087667508,1.1997572684609515e-09,1.656646077164166e-09,0.032,33.94112549695425,8.485156186188302,-4.0686624278829236e-05
hayward,0.0,0.0,0.003,0.0,-9.130881030347448e-05,-0.009602117028051112,-9.130881030347448e-05,-0.009602117028051112,1.2601267931261874e-08,1.7400053856078446e-08,0.048,33.94112549695425,8.485156186188302,-9.130881030347448e-05
hayward,0.0,0.0,0.004,0.0,-0.0001612001212277174,-0.012804982409178194,-0.0001612001212277174,-0.012804982409178194,6.978180691053435e-08,9.635595441972707e-08,0.064,33.94112549695425,8.485156186188302,-0.0001612001212277174
hayward,0.0,0.0,0.005,0.0,-0.000248169065555905,-0.016009699285816397,-0.000248169065555905,-0.016009699285816397,2.6501063612173864e-07,3.6593137818318736e-07,0.08,33.94112549695425,8.485156186188302,-0.000248169065555905
hayward,0.0,0.0,0.006,0.0,-0.00034766830850076734,-0.019216730976619002,-0.00034766830850076734,-0.019216730976619002,7.899575372857731e-07,1.090787353124931e-06,0.096,33.94112549695425,8.485156186188302,-0.00034766830850076734
hayward,0.1,0.07698003589195011,0.002,6.322263977041514e-05,-4.070829284530622e-05,-0.006362410000403408,2.2514346925108915e-05,-0.006362410000403408,1.1921868675205006e-09,1.646192733515469e-09,0.032,33.94112546618714,8.485155941209953,2.2514346925108915e-05
hayward,0.1,0.07698003589195011,0.004,6.322263977041514e-05,-0.00016128742957569777,-0.012728519440636259,-9.806478980528263e-05,-0.012728519440636259,6.975128355038317e-08,9.631380722364217e-08,0.064,33.94112546618714,8.485155941209953,-9.806478980528263e-05
hayward,0.1,0.07698003589195011,0.006,6.322263977041514e-05,-0.0003478646379152078,-0.019102029596133573,-0.00028464199814479265,-0.019102029596133573,7.899386189390297e-07,1.0907612303368025e-06,0.096,33.94112546618714,8.485155941209953,-0.00028464199814479265
hayward,0.2,0.15396007178390023,0.002,0.0010125805244095534,-4.075698355308334e-05,-0.006244086946436025,0.0009718235408564701,-0.006244086946436025,1.1990900622627506e-09,1.6557247870155797e-09,0.032,33.941125373889896,8.4851552062746,0.0009718235408564701
hayward,0.2,0.15396007178390023,0.004,0.0010125805244095534,-0.00016148244469692553,-0.012491863593501698,0.0008510980797126279,-0.012491863593501698,6.97450751152559e-08,9.63052345065496e-08,0.064,33.941125373889896,8.4851552062746,0.0008510980797126279
hayward,0.2,0.15396007178390023,0.006,0.0010125805244095534,-0.00034830430325762096,-0.01874702152138065,0.0006642762211519325,-0.01874702152138065,7.899049370127088e-07,1.090714721736693e-06,0.096,33.941125373889896,8.4851552062746,0.0006642762211519325
hayward,0.3,0.2309401076758503,0.002,0.005134835585431717,-4.078063931580823e-05,-0.006034825784703422,0.0050940549461159085,-0.006034825784703422,1.1952189038752864e-09,1.6503794229995798e-09,0.032,33.94112522007404,8.485153981381675,0.0050940549461159085
hayward,0.3,0.2309401076758503,0.004,0.005134835585431717,-0.00016157768998761808,-0.012073320415879963,0.004973257895444099,-0.012073320415879963,6.970787067920287e-08,9.62538619625695e-08,0.064,33.94112522007404,8.485153981381675,0.004973257895444099
hayward,0.3,0.2309401076758503,0.006,0.005134835585431717,-0.0003485195132086965,-0.01811915459970072,0.004786316072223021,-0.01811915459970072,7.898677656407981e-07,1.09066339484819e-06,0.096,33.94112522007404,8.485153981381675,0.004786316072223021
