model,parity,ell_over_ell_ext,omega_M,c_g_real,c_g_imag,c_e_real,c_e_imag
bardeen,polar,0.5,0.002,-0.6100489375743737,0.0026956542890150853,-0.23032399683274676,0.0016338454687662633
bardeen,polar,0.5,0.004,-0.6099815347268133,0.005393182301904225,-0.2304371263018387,0.003268729262087447
bardeen,polar,0.8,0.002,-0.23414333276507662,0.0009173036919124095,-1.9952750287437502,0.0009106719470993109
bardeen,polar,0.8,0.004,-0.23403857239215148,0.0018355584726907409,-1.9954806258220843,0.0018222237305933616
bardeen,polar,0.95,0.002,-0.11313896182882836,0.00017946194183252268,-4.506060089366807,0.00021539654550543777
bardeen,polar,0.95,0.004,-0.11301938952146151,0.0003593207500555411,-4.506514472552918,0.00043125378210794377
hayward,polar,0.5,0.002,-0.3788494287540582,0.0029556385859216116,-0.3633901006283289,-0.00035042798080442964
hayward,polar,0.5,0.004,-0.37889395949634935,0.005913353976824471,-0.36339587738697054,-0.0007010971734167874
hayward,polar,0.8,0.002,0.6141444864337251,0.0012288926707072522,-1.4966039342899307,-0.00023667283195235862
hayward,polar,0.8,0.004,0.613946318722188,0.0024591349480138237,-1.4966718057891175,-0.00047360374426221985
hayward,polar,0.95,0.002,1.3196717783163134,0.00031285976287221686,-2.517375995392184,-7.247714137269772e-05
hayward,polar,0.95,0.004,1.319361046081037,0.0006265247476236773,-2.5175003333234116,-0.00014514120908612065
fan_wang,polar,0.5,0.002,-2.3750056604851535,0.0010009892755542126,0.10748700452965565,-4.483200071376217e-05
fan_wang,polar,0.5,0.004,-2.3750377034189385,0.0020026388224261157,0.1074885486465062,-8.969359374096485e-05
fan_wang,polar,0.8,0.002,-3.470062633732737,0.00019156993686112077,0.24588087396992966,-1.353120864612052e-05
fan_wang,polar,0.8,0.004,-3.470170260604354,0.0003833058166978807,0.24588904240746307,-2.7074164841230664e-05
fan_wang,polar,0.95,0.002,-4.095890007303785,2.5041918348700585e-05,0.3422165148052934,-2.0902685036879795e-06
fan_wang,polar,0.95,0.004,-4.096047521273461,5.012631852717716e-05,0.34223082978794817,-4.184112906635036e-06
bardeen,axial,0.5,0.002,-0.028160073065984968,-0.004677562369445289,0.20773659797191021,0.002324434550034968
bardeen,axial,0.5,0.004,-0.028261482427470147,-0.009358233628552693,0.2076954895942965,0.004650486543839974
bardeen,axial,0.8,0.002,-0.2215908377401774,-0.0017884198955519298,1.169273202782393,0.0012185508758759866
bardeen,axial,0.8,0.004,-0.22163650539566884,-0.0035786000033225613,1.1691731001908892,0.00243833866432049
bardeen,axial,0.95,0.002,-0.49912595160084255,-0.0002736724130689051,2.331201749482833,0.0002027828561516741
bardeen,axial,0.95,0.004,-0.4991107748128262,-0.0005479532320681209,2.331018693770573,0.0004060213684557951
hayward,axial,0.5,0.002,0.03981225792092358,-0.005265368919498683,0.04340440590623227,0.00012790708621506034
hayward,axial,0.5,0.004,0.0396928468673431,-0.01053429715710791,0.043409440936744044,0.0002559038021641134
hayward,axial,0.8,0.002,0.26503186083195945,-0.002792309904074852,0.17718623306263506,9.533026055441066e-05
hayward,axial,0.8,0.004,0.2649302341197121,-0.00558754785208099,0.17718874536240803,0.0001907630061335839
hayward,axial,0.95,0.002,0.5332874069843367,-0.0007553340668252597,0.29596918051856663,2.8346457760505628e-05
hayward,axial,0.95,0.004,0.533219766239691,-0.0015126013882525045,0.29596717457690525,5.676625522687825e-05
fan_wang,axial,0.5,0.002,0.2829989886950989,-0.0011590835141810426,0.04858837940894723,4.0470835292859915e-05
fan_wang,axial,0.5,0.004,0.2829659045333443,-0.0023189147287904534,0.04858915651586618,8.096777214885736e-05
fan_wang,axial,0.8,0.002,1.2029822685779268,-0.00010714133010909357,0.23502212835203282,5.271341225295494e-06
fan_wang,axial,0.8,0.004,1.2029776388547462,-0.00021437532076881637,0.23502277709419236,1.0547186649525589e-05
fan_wang,axial,0.95,0.002,2.0505330742060046,-3.3462340717814987e-06,0.42265866602493624,1.8510094282973678e-07
fan_wang,axial,0.95,0.004,2.0505403326625027,-6.698442730556668e-06,0.4226607524691225,3.6990245850654515e-07
