model,omega_M,ell_over_ell_ext,direct_real,direct_imag,shell_real,shell_imag,real_residual,imag_residual,shell_fit_relative_rms
bardeen,0.0001,0.1,0.010080654421514547,3.45848007350327e-05,0.010083173757916526,3.4591640523794514e-05,2.519336401978628e-06,6.839788761811691e-09,1.7893116965022747e-05
bardeen,0.0001,0.2,0.03896435868808364,3.1766732456092354e-05,0.03896409967963817,3.176642247179074e-05,-2.5900844547593893e-07,-3.0998430161448525e-10,7.5996936924903675e-06
bardeen,0.0001,0.3,0.08257882587884267,2.740669243798429e-05,0.08258620359124677,2.7410503197961554e-05,7.377712404096903e-06,3.810759977264719e-09,4.847904920020429e-06
bardeen,0.0001,0.4,0.13413188593474332,2.197979810448787e-05,0.13413825689306802,2.1974289314613008e-05,6.370958324702913e-06,-5.508789874862852e-09,2.079684685051504e-06
bardeen,0.0001,0.55,0.20437210624082822,1.318185235535602e-05,0.20437970052522064,1.3187664743284487e-05,7.594284392425932e-06,5.812387928466007e-09,7.216875973074897e-07
bardeen,0.0001,0.7,0.22514211822034266,5.593319341760229e-06,0.2251504900635753,5.597855964442414e-06,8.371843232629628e-06,4.536622682184866e-09,1.314307482907597e-06
bardeen,0.0001,0.85,0.1357435865418731,1.0713375534945404e-06,0.13574274652814283,1.0593625792506704e-06,-8.400137302688737e-07,-1.1974974243870008e-08,1.277817228626331e-06
bardeen,0.0001,0.9,0.0685134785049819,3.864220528520952e-07,0.06851807657687592,3.86362992290827e-07,4.598071894013067e-06,-5.906056126821761e-11,6.242369611954962e-06
bardeen,0.0001,0.95,-0.022847716956698735,6.513264526517124e-08,-0.022848521241290456,6.810928116758235e-08,-8.042845917217989e-07,2.9766359024111145e-09,5.5055071276269155e-06
bardeen,0.0002,0.1,0.010071840381914134,6.916966839591236e-05,0.010072981270779779,6.916949543965244e-05,1.1408888656444516e-06,-1.729562599232402e-10,1.6327365772581664e-06
bardeen,0.0002,0.2,0.0389657725741008,6.353350694751929e-05,0.03897699477085853,6.355304368290321e-05,1.1222196757733338e-05,1.953673538392228e-08,1.8515752532215417e-05
bardeen,0.0002,0.3,0.0825836380249874,5.4813434482612796e-05,0.08259229733719031,5.4814026209768446e-05,8.659312202910496e-06,5.917271556505612e-10,1.594873389452557e-06
bardeen,0.0002,0.4,0.1341172311969867,4.3959637449581595e-05,0.13413293213198227,4.395538026983525e-05,1.5700934995560578e-05,-4.257179746346032e-09,4.248739467161099e-06
bardeen,0.0002,0.55,0.20436850833972006,2.6363726717768422e-05,0.2043892890796125,2.6358705917132915e-05,2.0780739892450883e-05,-5.0208006355068155e-09,3.28770295928036e-06
bardeen,0.0002,0.7,0.22514030919068095,1.1186662341904482e-05,0.22515826723978033,1.1185312580740428e-05,1.7958049099375817e-05,-1.349761164054058e-09,1.5757807030510748e-06
bardeen,0.0002,0.85,0.13575191946232673,2.142691288893233e-06,0.13576262673315487,2.143779255088235e-06,1.0707270828136384e-05,1.0879661950018591e-09,2.112228208768093e-06
bardeen,0.0002,0.9,0.06850994396770374,7.728515208068126e-07,0.0685163550262455,7.72017306455938e-07,6.41105854176649e-06,-8.342143508745854e-10,3.821222961739856e-06
bardeen,0.0002,0.95,-0.022857358825965773,1.3024833342780683e-07,-0.022855388455616236,1.5667943783995204e-07,1.9703703495362046e-06,2.6431104412145202e-08,7.111863379457443e-06
bardeen,0.0005,0.1,0.01007393935170663,0.0001729251474989889,0.01008188484379604,0.0001730108174592447,7.945492089409673e-06,8.566996025579396e-08,3.364386033283075e-05
bardeen,0.0005,0.2,0.03895940832112917,0.0001588347397557206,0.03897817558566264,0.00015890878207120354,1.8767264533467443e-05,7.404231548293152e-08,1.2097200817610917e-05
bardeen,0.0005,0.3,0.08258904499459786,0.00013703439180559634,0.08263596120847089,0.00013712213052536435,4.691621387302447e-05,8.773871976801534e-08,1.743335861065976e-05
bardeen,0.0005,0.4,0.13412602052302044,0.00010989978015021898,0.13419965741950973,0.00010997143243226471,7.36368964892875e-05,7.165228204573893e-08,1.735941778858757e-05
bardeen,0.0005,0.55,0.20436532554779718,6.590974723667567e-05,0.20447704997592125,6.597776010428254e-05,0.00011172442812407146,6.801286760686883e-08,1.7764113632816445e-05
bardeen,0.0005,0.7,0.22513668345700844,2.7966844558859486e-05,0.2252523400535253,2.7934492631245825e-05,0.00011565659651685545,-3.235192761366065e-08,1.5388241665396796e-05
bardeen,0.0005,0.85,0.13574847909295562,5.356780775756657e-06,0.13581738457075576,5.337295910188586e-06,6.890547780014078e-05,-1.94848655680703e-08,1.45494795904378e-05
bardeen,0.0005,0.9,0.06849582568071776,1.9321202468349967e-06,0.0685313677211202,1.930539751860117e-06,3.55420404024448e-05,-1.580494974879743e-09,1.6243437634523652e-05
bardeen,0.0005,0.95,-0.02285129946077028,3.2563284624832993e-07,-0.02286055655313486,2.6811834420215513e-07,-9.257092364579889e-06,-5.75145020461748e-08,8.07992885440052e-06
hayward,0.0001,0.1,-0.027165230584231873,3.481173473435065e-05,-0.02716109545157561,3.482019005909018e-05,4.135132656263307e-06,8.455324739531909e-09,1.7335155923722267e-05
hayward,0.0001,0.2,-0.10847108660468009,3.262118493992661e-05,-0.10847565132236915,3.262326312063738e-05,-4.5647176890595276e-06,2.078180710770325e-09,2.255636932961817e-06
hayward,0.0001,0.3,-0.24336044387416084,2.9137245474862123e-05,-0.24336653179680126,2.9144904530542014e-05,-6.087922640424237e-06,7.6590556798915e-09,1.0196184220105376e-06
hayward,0.0001,0.4,-0.43090192354985823,2.460798170642869e-05,-0.4309099562759676,2.462465165778399e-05,-8.03272610938599e-06,1.6669951355298277e-08,1.020360262292162e-06
hayward,0.0001,0.55,-0.8079345379361219,1.662711509117123e-05,-0.8079582851889118,1.6617998846509027e-05,-2.3747252789863005e-05,-9.11624466220411e-09,3.097451369512237e-07
hayward,0.0001,0.7,-1.29424981925763,8.601715175216374e-06,-1.2942817759685412,8.598481982593654e-06,-3.1956710911273944e-05,-3.2331926227195066e-09,1.5371284990175763e-07
hayward,0.0001,0.85,-1.88156229956026,2.4007834019754196e-06,-1.8816108987293987,2.3912042596834298e-06,-4.859916913857454e-05,-9.579142291989854e-09,5.819894136545611e-07
hayward,0.0001,0.9,-2.098037217877688,1.088869548987329e-06,-2.098086047775088,1.0790056317212748e-06,-4.882989739973809e-05,-9.863917266054298e-09,5.342321701292342e-07
hayward,0.0001,0.95,-2.32412564509896,2.724895518613371e-07,-2.3241743975429356,3.0029443497266206e-07,-4.8752443975619286e-05,2.780488311132496e-08,4.938519922657386e-07
hayward,0.0002,0.1,-0.027169136238372985,6.962352071166773e-05,-0.027169314259231196,6.964290393786442e-05,-1.7802085821097546e-07,1.9383226196681164e-08,4.1902424378196295e-06
hayward,0.0002,0.2,-0.10846633346193052,6.524243631326785e-05,-0.10848037184426668,6.523131477221732e-05,-1.403838233615673e-05,-1.1121541050522856e-08,4.334484519325893e-06
hayward,0.0002,0.3,-0.24335806941846883,5.8274547876086646e-05,-0.24337832901942658,5.8276012342822066e-05,-2.025960095775048e-05,1.4644667354198017e-09,8.587175396747198e-07
hayward,0.0002,0.4,-0.4309008196271781,4.921602264284766e-05,-0.4309421538829828,4.920567939909737e-05,-4.1334255804714726e-05,-1.0343243750284828e-08,2.1443852257768726e-06
hayward,0.0002,0.55,-0.8079321205339203,3.325426677618127e-05,-0.8080085846411609,3.324960159690778e-05,-7.64641072406036e-05,-4.665179273487599e-09,2.2556374405608628e-06
hayward,0.0002,0.7,-1.2942392550052118,1.7203463905253653e-05,-1.294349164069263,1.7195638366095564e-05,-0.00010990906405128342,-7.82553915808912e-09,1.868430676549002e-06
hayward,0.0002,0.85,-1.8815694998641392,4.801589285691519e-06,-1.881728691943601,4.800599301334108e-06,-0.00015919207946168967,-9.899843574112224e-10,2.1791192792321406e-06
hayward,0.0002,0.9,-2.0980362920243394,2.1777513459245574e-06,-2.0982141800825667,2.195594103324956e-06,-0.00017788805822727127,1.7842757400398458e-08,2.4217798775154352e-06
hayward,0.0002,0.95,-2.3241341272155007,5.449695837304305e-07,-2.3243198780968686,6.040443069807689e-07,-0.00018575088136785212,5.907472325033846e-08,2.183130671882816e-06
hayward,0.0005,0.1,-0.027166707340405577,0.00017405987254398567,-0.0271760617809891,0.00017419822197689726,-9.354440583524137e-06,1.383494329115927e-07,7.562131636829295e-06
hayward,0.0005,0.2,-0.10847682686750172,0.0001631070894156149,-0.10852902562087197,0.00016319433479201157,-5.219875337024449e-05,8.724537639667913e-08,1.1726268043504043e-05
hayward,0.0005,0.3,-0.24336898379914393,0.00014568724514840071,-0.24349457138241382,0.0001457340984652433,-0.00012558758326988717,4.685331684258008e-08,1.416372127485412e-05
hayward,0.0005,0.4,-0.4309017339158749,0.00012304085088848843,-0.4311245896047834,0.00012310919413626253,-0.0002228556889085076,6.834324777410311e-08,1.4606736814873763e-05
hayward,0.0005,0.55,-0.8079422880209693,8.313627630630626e-05,-0.8083604160434965,8.318097530316704e-05,-0.0004181280225271644,4.469899686078784e-08,1.4890307924237484e-05
hayward,0.0005,0.7,-1.2942335572836652,4.300897388287695e-05,-1.2949007140245783,4.3019345969213296e-05,-0.0006671567409131107,1.0372086336346304e-08,1.5069003260393865e-05
hayward,0.0005,0.85,-1.8815575724772222,1.2004118287258925e-05,-1.882519084693094,1.198941783099847e-05,-0.0009615122158717071,-1.4700456260455014e-08,1.5150400228238765e-05
hayward,0.0005,0.9,-2.098038087119271,5.444470295005568e-06,-2.0991039825511173,5.542202245450859e-06,-0.0010658954318460978,9.773195044529114e-08,1.5087380596958944e-05
hayward,0.0005,0.95,-2.324120942660693,1.3624805520776607e-06,-2.325302928050471,1.3412571851957326e-06,-0.0011819853897780952,-2.122336688192812e-08,1.5313126241979277e-05
fan_wang,0.0001,0.1,-0.00684646941593858,2.2289183992468728e-05,-0.006845512773810004,2.229435727329854e-05,9.566421285758797e-07,5.173280829810252e-09,7.491292574943799e-06
fan_wang,0.0001,0.2,-0.030818282046039147,1.325944825371339e-05,-0.030818058794792325,1.326612508260092e-05,2.2325124682254227e-07,6.6768288875301076e-09,2.893438903576734e-06
fan_wang,0.0001,0.3,-0.07752589543704684,7.3841790813482764e-06,-0.07752490413608165,7.3796714261579125e-06,9.91300965189068e-07,-4.507655190363927e-09,3.4743590457434448e-06
fan_wang,0.0001,0.4,-0.15312710641276167,3.7737082439491634e-06,-0.15313045654676377,3.767811215202976e-06,-3.350134002100269e-06,-5.897028746187361e-09,7.897666584950732e-07
fan_wang,0.0001,0.55,-0.335826760318383,1.0916570803924414e-06,-0.3358328579498991,1.0950490108225929e-06,-6.097631516099877e-06,3.391930430151487e-09,4.289618642888892e-07
fan_wang,0.0001,0.7,-0.6246577769161515,1.9503292921296833e-07,-0.6246729485068723,1.867341998012661e-07,-1.5171590720730599e-05,-8.298729411702227e-09,1.0634586348564798e-06
fan_wang,0.0001,0.85,-1.048407350722508,1.0931475065313236e-08,-1.048420940081761,1.0114388335284038e-08,-1.3589359252996758e-05,-8.170867300291985e-10,3.7075225213728824e-07
fan_wang,0.0001,0.9,-1.2250893602121726,2.0889063696360882e-09,-1.225105203538966,6.977414013883768e-09,-1.5843326793385515e-05,4.8885076442476795e-09,4.077843581799919e-07
fan_wang,0.0001,0.95,-1.4215661851066865,1.3422753503689917e-10,-1.4215892975808464,4.653167125948855e-09,-2.3112474159869834e-05,4.518939590911956e-09,6.870592349979879e-07
fan_wang,0.0002,0.1,-0.006843506054764299,4.457839911521028e-05,-0.006839630739172811,4.458930792890636e-05,3.8753155914882445e-06,1.0908813696080524e-08,5.0995321602418065e-05
fan_wang,0.0002,0.2,-0.030827690593081738,2.651890360602918e-05,-0.030826862917523234,2.6537956050408308e-05,8.276755585033546e-07,1.9052444379128797e-08,6.16124867184888e-06
fan_wang,0.0002,0.3,-0.07752492983793637,1.4768356914093993e-05,-0.07752512072349672,1.4797544843302366e-05,-1.908855603582893e-07,2.9187929208372875e-08,6.16678458127032e-06
fan_wang,0.0002,0.4,-0.15313314585128474,7.547424936460429e-06,-0.15314264425436208,7.55252708262969e-06,-9.498403077345952e-06,5.102146169261021e-09,5.533614440856486e-07
fan_wang,0.0002,0.55,-0.3358333049106246,2.1833132210912537e-06,-0.33585818632647224,2.190465963573506e-06,-2.4881415847666233e-05,7.152742482252281e-09,1.7270133744365876e-06
fan_wang,0.0002,0.7,-0.6246589439154562,3.9007113726442864e-07,-0.6247062129733536,3.9294533460787896e-07,-4.7269057897425526e-05,2.8741973434503167e-09,2.1705366884755187e-06
fan_wang,0.0002,0.85,-1.0484132465227725,2.1870726005619312e-08,-1.0484925390560336,1.9133891761929852e-08,-7.929253326111052e-05,-2.73683424368946e-09,2.3563080678051547e-06
fan_wang,0.0002,0.9,-1.2250851190093677,4.1727385166491114e-09,-1.2251797074584203,2.2848597103384092e-08,-9.458844905263497e-05,1.867585858673498e-08,2.541624808407502e-06
fan_wang,0.0002,0.95,-1.4215592316458727,2.6054533800249124e-10,-1.4216704061086143,-2.7105963295207823e-08,-0.00011117446274155895,-2.7366508633210314e-08,2.6879411624893264e-06
fan_wang,0.0005,0.1,-0.006840549362084146,0.00011144665726178355,-0.006845999831991438,0.00011145309177264697,-5.450469907291623e-06,6.434510863419316e-09,6.382933319548077e-05
fan_wang,0.0005,0.2,-0.030831394636044746,6.629768985722898e-05,-0.030845416629316343,6.630237864823549e-05,-1.4021993271596395e-05,4.688791006512657e-09,1.4424571181023651e-05
fan_wang,0.0005,0.3,-0.07752523298815088,3.6921115112469064e-05,-0.0775637333764981,3.690865876372787e-05,-3.8500388347226244e-05,-1.2456348741191026e-08,1.3830624245325034e-05
fan_wang,0.0005,0.4,-0.15314842932784636,1.8868675337799215e-05,-0.15321955401659687,1.8902187937473397e-05,-7.112468875050681e-05,3.351259967418173e-08,1.1484014064737272e-05
fan_wang,0.0005,0.55,-0.3358309629381757,5.458338861906012e-06,-0.336001371854737,5.431150908639179e-06,-0.0001704089165612821,-2.718795326683333e-08,1.5418037535225677e-05
fan_wang,0.0005,0.7,-0.6246499506697781,9.751767199346142e-07,-0.6249689071317066,9.657914712577464e-07,-0.0003189564619284768,-9.385248676867761e-09,1.580111388766945e-05
fan_wang,0.0005,0.85,-1.048396287947083,5.46574543468577e-08,-1.0489232031599478,8.996056538624839e-08,-0.0005269152128648535,3.530311103939069e-08,1.536030310503777e-05
fan_wang,0.0005,0.9,-1.2250828609963513,1.0424025355583569e-08,-1.2256968414178042,-1.8016323927569344e-08,-0.0006139804214528866,-2.8440349283152914e-08,1.5312344092554534e-05
fan_wang,0.0005,0.95,-1.4215793865453252,6.712124826884215e-10,-1.4222978404435846,-4.415603064079937e-08,-0.0007184538982594191,-4.482724312348779e-08,1.5714380311714852e-05
