model,parity,ell_over_ell_ext,omega_M,k_dynamic_real,delta_k_real,window_max_residual,fractional_window_residual
Bardeen,polar,0.9,0.002,2.491703295987264,-3.908395231171068e-05,4.840559044701599e-09,0.00012385029554063876
Bardeen,polar,0.9,0.004,2.4915872363526566,-0.00015514358691918228,8.813782260005154e-08,0.0005681048398472601
Bardeen,polar,0.9,0.006,2.491404928361213,-0.000337451578362604,8.713609982751546e-07,0.0025821808346643605
Hayward,polar,0.9,0.002,6.0213233410559805,0.0012296554212758437,1.123433631266377e-08,9.13616621232593e-06
Hayward,polar,0.9,0.004,6.021593532256862,0.00149984662215763,2.4992043425960296e-08,1.666306611405876e-05
Hayward,polar,0.9,0.006,6.0220550766817,0.001961391046995331,7.361041070138463e-07,0.0003752969649481624
Fan--Wang,polar,0.9,0.002,4.555155324557638,0.0030473250725471246,1.9751530022696164e-09,6.481596007145615e-07
Fan--Wang,polar,0.9,0.004,4.555295227147966,0.0031872276628757135,7.389314874878305e-08,2.3184145145788577e-05
Fan--Wang,polar,0.9,0.006,4.555538918533082,0.00343091904799131,8.041024975960682e-07,0.0002343694171586018
Bardeen,axial,0.9,0.002,-1.4522258142690911,-3.555129990963709e-06,1.507991385805966e-09,0.00042417334658336543
Bardeen,axial,0.9,0.004,-1.4522349404659236,-1.2681326823429439e-05,9.636322503876851e-08,0.007598828291431795
Bardeen,axial,0.9,0.006,-1.4522357557854606,-1.3496646360556728e-05,1.0939269927668758e-06,0.08105176378954572
Hayward,axial,0.9,0.002,0.42757509920510006,-2.8219715661989446e-05,1.9172705683403235e-09,6.794081808991405e-05
Hayward,axial,0.9,0.004,0.4274919653957395,-0.00011135352502250456,9.713027773892995e-08,0.000872269447413541
Hayward,axial,0.9,0.006,0.42736773665600897,-0.0002355822647530924,1.0929167157916246e-06,0.004639214742829143
Fan--Wang,axial,0.9,0.002,1.8040994242525505,6.073788880412268e-07,1.2145133173145793e-09,0.001999597518496794
Fan--Wang,axial,0.9,0.004,1.8041026713479114,3.854474248877316e-06,8.993361380461505e-08,0.023332264790927013
Fan--Wang,axial,0.9,0.006,1.804121400488486,2.2583614823463788e-05,1.015917709244474e-06,0.044984725305754064
