geometry,parity,ell_over_ell_ext,peak_frequency_M,ringdown_frequency_M,ringdown_damping_M,linewidth_detuning,robust_linewidth_detuning,qnm_resonance_aligned,controls_preserve_alignment
Bardeen,polar,0.6,0.45000000000000007,0.3797748862289333,0.08696749450048906,0.8074869142133543,0.8429886642623898,True,True
Bardeen,polar,0.9,0.45000000000000007,0.3884833337174853,0.08327510657266889,0.7387161519731362,0.7977814977806779,True,True
Bardeen,polar,0.97,0.4375,0.38925733990134664,0.08197929211785596,0.5884737334557393,0.638681395913014,True,True
Hayward,polar,0.6,0.45000000000000007,0.37361692508387356,0.08586096898889761,0.8896134741503248,0.8967513143603231,True,True
Hayward,polar,0.9,0.45000000000000007,0.3763352424814236,0.08165736608463336,0.9021201766687774,0.905888349171836,True,True
Hayward,polar,0.97,0.45000000000000007,0.3769862156853399,0.08039132129294488,0.9082296837565205,0.9111613593927598,True,True
Fan Wang,polar,0.6,0.4625,0.4399199369398248,0.09055796841190283,0.24934374584763033,0.5041872249174894,True,True
Fan Wang,polar,0.9,0.7625000000000001,0.42725448050050324,0.09272316082070034,3.615553185765143,4.72249595126121,False,True
Fan Wang,polar,0.97,0.7875,0.4432843210452133,0.07407421230570199,4.646902994178584,4.654549243572687,False,True
Bardeen,axial,0.6,0.575,0.3676923997053438,0.08045669098136785,2.5766359238247127,2.5909845761274872,False,True
Bardeen,axial,0.9,0.6375,0.39335000010956767,0.07693401911313394,3.1734985732566745,3.713955953062781,False,True
Bardeen,axial,0.97,0.6625,0.390858859963121,0.08350294321221927,3.253072641362045,3.6421407681427014,False,True
Hayward,axial,0.6,0.4875,0.36462341105158086,0.08364944880331567,1.4689467857383969,1.4689467857383969,False,True
Hayward,axial,0.9,0.60625,0.37444323670471114,0.07505248844760308,3.0885953029674917,3.4312764597918113,False,True
Hayward,axial,0.97,0.6125,0.3784217747652361,0.07471285714330643,3.133038063124523,3.614598833331166,False,True
Fan Wang,axial,0.6,0.50625,0.43900967928323376,0.09521229155502595,0.7062147084014472,0.8459614695561034,True,True
Fan Wang,axial,0.9,0.5375,0.48622102662235034,0.08579249047884396,0.5977093460213141,0.6012192613167091,True,True
Fan Wang,axial,0.97,0.55,0.5167890045535338,0.07674560334813584,0.43274134279475857,0.5328516390096864,True,True
