model,parity,ell_over_ell_ext,ell_over_M,k2_static_direct,metric_response_ratio,canonical_local_term,horizon_response_term,window_fit_rms,series_order,log_order,match_radii_over_M,horizon_offset_over_M,relative_tolerance,absolute_tolerance
bardeen,polar,0.1,0.07698003589195011,0.0008461833400074115,-0.0008461833400074115,0.9664552472228344,-0.9673014305628418,1.0823930216149668e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.15,0.11547005383792515,0.0029747400920662193,-0.0029747400920662193,0.943239456380326,-0.9462141964723922,1.0568568283738623e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.2,0.15396007178390023,0.007938423600625688,-0.007938423600625688,0.9092139627748703,-0.917152386375496,1.023500897001319e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.3,0.2309401076758503,0.03486104102179444,-0.03486104102179444,0.8022050683065891,-0.8370661093283835,9.407060971582841e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.4,0.30792014356780045,0.10421102932784665,-0.10421102932784665,0.6280184332354298,-0.7322294625632765,8.503786651891492e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.5,0.3849001794597505,0.24750391134623767,-0.24750391134623767,0.3622798747459303,-0.609783786092168,7.627942779070844e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.6,0.4618802153517006,0.5050326784080085,-0.5050326784080085,-0.026348842210452226,-0.4786838361975562,6.718156618580042e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.8,0.6158402871356009,1.5663877660822516,-1.5663877660822516,-1.3324499528830136,-0.2339378131992381,3.3077381994451195e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,polar,0.95,0.731310340973526,3.083217608589227,-3.083217608589227,-2.9701383121829097,-0.11307929640631706,3.4477749117931255e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.1,0.07698003589195011,-0.00020268455936847676,-0.00020268455936847676,-0.00016272104893234052,-3.996351043613624e-05,8.404042260642197e-13,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.15,0.11547005383792515,-0.0010273772864760806,-0.0010273772864760806,-0.000823775310219982,-0.00020360197625609867,4.564682426069409e-11,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.2,0.15396007178390023,-0.00325273437891312,-0.00325273437891312,-0.0026035367829174492,-0.0006491975959956708,1.029896444340464e-10,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.3,0.2309401076758503,-0.01655037864329102,-0.01655037864329102,-0.013180404963519623,-0.003369973679771396,5.296568466951707e-10,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.4,0.30792014356780045,-0.05268261232613766,-0.05268261232613766,-0.041656588526679215,-0.011026023799458447,1.415498795648195e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.5,0.3849001794597505,-0.1298253481249419,-0.1298253481249419,-0.10170065558271285,-0.028124692542229053,2.8808445698597313e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.6,0.4618802153517006,-0.2723593031988537,-0.2723593031988537,-0.21088647941631353,-0.06147282378254021,4.576317565559351e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.8,0.6158402871356009,-0.8880775079515983,-0.8880775079515983,-0.6665054164268676,-0.22157209152473084,4.845738600258618e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
bardeen,axial,0.95,0.731310340973526,-1.8245015009346044,-1.8245015009346044,-1.3253731136194729,-0.4991283873151315,3.96469258490079e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.1,0.07698003589195011,0.07586690950879005,-0.07586690950879005,0.8847094476169046,-0.9605763571256947,1.0599913193270524e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.15,0.11547005383792515,0.17065809534641785,-0.17065809534641785,0.760127507138021,-0.9307856024844389,1.0087145576708225e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.2,0.15396007178390023,0.3032719092400705,-0.3032719092400705,0.5857127904675997,-0.8889846997076702,9.432229481774956e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.3,0.2309401076758503,0.6815609644390476,-0.6815609644390476,0.08738502855210414,-0.7689459929911517,7.952681177973962e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.4,0.30792014356780045,1.2096345556886967,-1.2096345556886967,-0.6102738381296151,-0.5993607175590817,6.870889461602805e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.5,0.3849001794597505,1.8859087040192213,-1.8859087040192213,-1.507263809577515,-0.37864489444170624,7.168801257876016e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.6,0.4618802153517006,2.708260822481507,-2.708260822481507,-2.6035848857916424,-0.10467593668986451,1.0106875227604459e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.8,0.6158402871356009,4.7794246331863155,-4.7794246331863155,-5.394220352518455,0.6147957193321397,3.0300093527106505e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,polar,0.95,0.731310340973526,6.689336210429996,-6.689336210429996,-8.010441102574825,1.3211048921448287,6.571323773618706e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.1,0.07698003589195011,6.322883519379044e-05,6.322883519379044e-05,-2.414560506935727e-14,6.322883521793604e-05,9.217845924624676e-11,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.15,0.11547005383792515,0.0003202244893687981,0.0003202244893687981,-2.750381873436959e-13,0.0003202244896438363,3.890539443479675e-10,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.2,0.15396007178390023,0.0010126481688833822,0.0010126481688833822,-1.5453706839301055e-12,0.0010126481704287528,1.2762771291800472e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.3,0.2309401076758503,0.005135004102295972,0.005135004102295972,-1.760277263650151e-11,0.005135004119898745,6.287454822711313e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.4,0.30792014356780045,0.016267439605585066,0.016267439605585066,-9.890414837643174e-11,0.016267439704489215,1.9662249456702014e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.5,0.3849001794597505,0.0398391961235241,0.0398391961235241,-3.7729012101187295e-10,0.039839196500814224,4.734384473555676e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.6,0.4618802153517006,0.08293669332355114,0.08293669332355114,-1.1265843200205005e-09,0.08293669445013546,9.65268767531587e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.8,0.6158402871356009,0.26498328279430683,0.26498328279430683,-6.329922700432188e-09,0.2649832891242295,2.919221747159985e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
hayward,axial,0.95,0.731310340973526,0.5331517684444443,0.5331517684444443,-1.7750158732481023e-08,0.5331517861946031,5.561529336705722e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.1,0.02962962962962963,0.005671385042980814,-0.005671385042980814,1.212719425754355,-1.2183908107973358,1.1310670226808139e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.15,0.04444444444444444,0.019280616062880007,-0.019280616062880007,1.3247040096825327,-1.3439846257454127,1.1679593442978384e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.2,0.05925925925925926,0.04600563430882931,-0.04600563430882931,1.4291016115181674,-1.4751072458269967,1.230359325357473e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.3,0.08888888888888888,0.15726020662353468,-0.15726020662353468,1.5962887743548517,-1.7535489809783864,1.4685962440435306e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.4,0.11851851851851852,0.3774099578232919,-0.3774099578232919,1.6758177148557678,-2.0532276726790597,1.9341471557281695e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.5,0.14814814814814814,0.746086757842755,-0.746086757842755,1.6279948171400058,-2.374081574982761,2.7448163521574634e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
